Field_Name,Unique_Value,Count,Percentage
CRASH_YEAR,2017,127375,11.84%
CRASH_YEAR,2018,131848,12.25%
CRASH_YEAR,2019,128172,11.91%
CRASH_YEAR,2020,105600,9.81%
CRASH_YEAR,2021,118498,11.01%
CRASH_YEAR,2022,122434,11.38%
CRASH_YEAR,2023,127597,11.86%
CRASH_YEAR,2024,129244,12.01%
CRASH_YEAR,2025,85331,7.93%
CRASH_SEVERITY,A,51830,4.82%
CRASH_SEVERITY,B,212544,19.75%
CRASH_SEVERITY,C,84727,7.87%
CRASH_SEVERITY,K,7265,0.68%
CRASH_SEVERITY,O,719733,66.88%
K_PEOPLE,0,1068834,99.32%
K_PEOPLE,1,6851,0.64%
K_PEOPLE,2,359,0.03%
K_PEOPLE,3,47,0.00%
K_PEOPLE,4,8,0.00%
A_PEOPLE,0,1022777,95.04%
A_PEOPLE,1,45795,4.26%
A_PEOPLE,2,5882,0.55%
A_PEOPLE,3,1163,0.11%
A_PEOPLE,4,344,0.03%
A_PEOPLE,5,88,0.01%
A_PEOPLE,6,28,0.00%
A_PEOPLE,7,12,0.00%
A_PEOPLE,8,3,0.00%
A_PEOPLE,9,2,0.00%
A_PEOPLE,10,1,0.00%
A_PEOPLE,11,2,0.00%
A_PEOPLE,18,1,0.00%
A_PEOPLE,54,1,0.00%
B_PEOPLE,0,851165,79.10%
B_PEOPLE,1,173234,16.10%
B_PEOPLE,2,38612,3.59%
B_PEOPLE,3,8978,0.83%
B_PEOPLE,4,2762,0.26%
B_PEOPLE,5,817,0.08%
B_PEOPLE,6,305,0.03%
B_PEOPLE,7,108,0.01%
B_PEOPLE,8,48,0.00%
B_PEOPLE,9,23,0.00%
B_PEOPLE,10,18,0.00%
B_PEOPLE,11,11,0.00%
B_PEOPLE,12,5,0.00%
B_PEOPLE,13,2,0.00%
B_PEOPLE,14,2,0.00%
B_PEOPLE,15,2,0.00%
B_PEOPLE,16,1,0.00%
B_PEOPLE,17,1,0.00%
B_PEOPLE,18,1,0.00%
B_PEOPLE,19,2,0.00%
B_PEOPLE,33,1,0.00%
B_PEOPLE,36,1,0.00%
C_PEOPLE,0,939598,87.32%
C_PEOPLE,1,96223,8.94%
C_PEOPLE,2,32324,3.00%
C_PEOPLE,3,5572,0.52%
C_PEOPLE,4,1592,0.15%
C_PEOPLE,5,469,0.04%
C_PEOPLE,6,168,0.02%
C_PEOPLE,7,69,0.01%
C_PEOPLE,8,33,0.00%
C_PEOPLE,9,21,0.00%
C_PEOPLE,10,9,0.00%
C_PEOPLE,11,3,0.00%
C_PEOPLE,12,2,0.00%
C_PEOPLE,14,2,0.00%
C_PEOPLE,15,2,0.00%
C_PEOPLE,16,1,0.00%
C_PEOPLE,17,1,0.00%
C_PEOPLE,19,1,0.00%
C_PEOPLE,20,1,0.00%
C_PEOPLE,21,1,0.00%
C_PEOPLE,23,2,0.00%
C_PEOPLE,24,2,0.00%
C_PEOPLE,27,1,0.00%
C_PEOPLE,30,1,0.00%
C_PEOPLE,38,1,0.00%
PERSONS_INJURED,0,724000,67.28%
PERSONS_INJURED,1,214604,19.94%
PERSONS_INJURED,2,99275,9.23%
PERSONS_INJURED,3,25634,2.38%
PERSONS_INJURED,4,8209,0.76%
PERSONS_INJURED,5,2697,0.25%
PERSONS_INJURED,6,965,0.09%
PERSONS_INJURED,7,361,0.03%
