Field_Name,Unique_Value,Count,Percentage
ASSET_SUBTYPE,Traffic Signal,3153,100.00%
ASSET_GROUP,087-0005-01,1,0.03%
ASSET_GROUP,75-0006-04,1,0.03%
ASSET_GROUP,757-566-3475,1,0.03%
ASSET_GROUP,Check Location,4,0.13%
ASSET_GROUP,<NULL>,3146,99.78%
STATUS,Active,3134,99.40%
STATUS,Proposed,14,0.44%
STATUS,Under Construction,5,0.16%
DISTRICT,Bristol,99,3.14%
DISTRICT,Culpeper,134,4.25%
DISTRICT,Fredericksburg,273,8.66%
DISTRICT,Hampton Roads,187,5.93%
DISTRICT,Lynchburg,88,2.79%
DISTRICT,Northern Virginia,1477,46.84%
DISTRICT,Richmond,495,15.70%
DISTRICT,Salem,181,5.74%
DISTRICT,Staunton,219,6.95%
ROUTE_TYPE,Primary,1985,62.96%
ROUTE_TYPE,Secondary,1168,37.04%
MAINT_RESP,Bristol,99,3.14%
MAINT_RESP,Culpeper,134,4.25%
MAINT_RESP,Fredericksburg,272,8.63%
MAINT_RESP,Hampton Roads,187,5.93%
MAINT_RESP,Lynchburg,88,2.79%
MAINT_RESP,Northern Virginia,1461,46.34%
MAINT_RESP,Richmond,495,15.70%
MAINT_RESP,Salem,181,5.74%
MAINT_RESP,Staunton,219,6.95%
MAINT_RESP,<NULL>,17,0.54%
COORDINATION,Coordinated,632,20.04%
COORDINATION,Isolated,425,13.48%
COORDINATION,<NULL>,2096,66.48%
SIGNAL_MODE,No,790,25.06%
SIGNAL_MODE,Yes,103,3.27%
SIGNAL_MODE,<NULL>,2260,71.68%
UPS,No,672,21.31%
UPS,Yes,2387,75.71%
UPS,<NULL>,94,2.98%
PREEMPTION,No,848,26.90%
PREEMPTION,Yes,1468,46.56%
PREEMPTION,<NULL>,837,26.55%
PEDSIGNAL,No,1182,37.49%
PEDSIGNAL,Yes,1034,32.79%
PEDSIGNAL,<NULL>,937,29.72%
DETECTION,No,16,0.51%
DETECTION,Yes,2129,67.52%
DETECTION,<NULL>,1008,31.97%
CREATED_USER,HMMS_Editor,8,0.25%
CREATED_USER,hmms_editor,111,3.52%
CREATED_USER,hmms_x,75,2.38%
CREATED_USER,<NULL>,2959,93.85%
LAST_EDITED_USER,GIS_DATA,515,16.33%
LAST_EDITED_USER,HMMS_Editor,108,3.43%
LAST_EDITED_USER,hmms_editor,2518,79.86%
LAST_EDITED_USER,hmms_x,12,0.38%
FYA,Appropriate but Not Planned and Not Funded,816,25.88%
FYA,Installed on all appropriate approaches,816,25.88%
FYA,Installed on some but not all appropriate approaches,49,1.55%
FYA,NOT Appropriate,1280,40.60%
FYA,Planned and Funded,52,1.65%
FYA,Planned and Not Funded,84,2.66%
FYA,<NULL>,56,1.78%
HVSB,HVSB Installed,2049,64.99%
HVSB,HVSB Not Funded,947,30.03%
HVSB,HVSB Planned and Funded,90,2.85%
HVSB,<NULL>,67,2.12%
APS,Appropriate but Not Planned and Not Funded,150,4.76%
APS,Installed on all appropriate approaches,247,7.83%
APS,Installed on some but not all appropriate approaches,22,0.70%
APS,NOT Appropriate,369,11.70%
APS,Planned and Funded,8,0.25%
APS,Planned and Not Funded,3,0.10%
APS,<NULL>,2354,74.66%
PROJECTUPC,101020,4,0.13%
PROJECTUPC,102944,1,0.03%
PROJECTUPC,103014,1,0.03%
PROJECTUPC,104889,1,0.03%
PROJECTUPC,106498,1,0.03%
PROJECTUPC,107034,7,0.22%
PROJECTUPC,107715,2,0.06%
PROJECTUPC,109315,2,0.06%
PROJECTUPC,109317,1,0.03%
PROJECTUPC,109419,1,0.03%
PROJECTUPC,13558,6,0.19%
PROJECTUPC,4632,1,0.03%
PROJECTUPC,76244,1,0.03%
PROJECTUPC,97565,2,0.06%
PROJECTUPC,Permit,1,0.03%
PROJECTUPC,UPC#109591,1,0.03%
PROJECTUPC,UPC#112819,1,0.03%
PROJECTUPC,UPC#114326,1,0.03%
PROJECTUPC,UPC106240,8,0.25%
PROJECTUPC,Upc106240,1,0.03%
PROJECTUPC,<NULL>,3109,98.60%
ATSPM,No,194,6.15%
ATSPM,Yes,46,1.46%
ATSPM,<NULL>,2913,92.39%
