Field_Name,Unique_Value,Count,Percentage
AREACD,W1,41,6.93%
AREACD,W2,165,27.87%
AREACD,W3,87,14.70%
AREACD,W4,148,25.00%
AREACD,W5,67,11.32%
AREACD,<NULL>,84,14.19%
ASBLT,<NULL>,592,100.00%
DISTRICT,01,3,0.51%
DISTRICT,02,1,0.17%
DISTRICT,05,1,0.17%
DISTRICT,06,2,0.34%
DISTRICT,07,4,0.68%
DISTRICT,08,2,0.34%
DISTRICT,16,1,0.17%
DISTRICT,18,1,0.17%
DISTRICT,21,1,0.17%
DISTRICT,24,6,1.01%
DISTRICT,25,6,1.01%
DISTRICT,26,2,0.34%
DISTRICT,30,1,0.17%
DISTRICT,32,3,0.51%
DISTRICT,33,1,0.17%
DISTRICT,35,1,0.17%
DISTRICT,4,1,0.17%
DISTRICT,42,2,0.34%
DISTRICT,45,1,0.17%
DISTRICT,51,3,0.51%
DISTRICT,52,17,2.87%
DISTRICT,54,2,0.34%
DISTRICT,55,10,1.69%
DISTRICT,58,2,0.34%
DISTRICT,59,38,6.42%
DISTRICT,64,1,0.17%
DISTRICT,65,1,0.17%
DISTRICT,66,7,1.18%
DISTRICT,67,3,0.51%
DISTRICT,69,6,1.01%
DISTRICT,70,5,0.84%
DISTRICT,72,1,0.17%
DISTRICT,73,2,0.34%
DISTRICT,88,4,0.68%
DISTRICT,89,5,0.84%
DISTRICT,90,4,0.68%
DISTRICT,<NULL>,441,74.49%
LOC,STC,23,3.89%
LOC,TOC2,512,86.49%
LOC,<NULL>,57,9.63%
MAPNO,9130 - J8,2,0.34%
MAPNO,9130-D6,1,0.17%
MAPNO,9130-J8,2,0.34%
MAPNO,9131-C6,1,0.17%
MAPNO,9244-K4,2,0.34%
MAPNO,9360-D2,1,0.17%
MAPNO,<NULL>,583,98.48%
OWN,CONT,4,0.68%
OWN,NTRS,530,89.53%
OWN,VDOT,1,0.17%
OWN,<NULL>,57,9.63%
PEDBUTTONS,N,360,60.81%
PEDBUTTONS,Y,179,30.24%
PEDBUTTONS,<NULL>,53,8.95%
SEGKEY,1,531,89.70%
SEGKEY,744795,1,0.17%
SEGKEY,744870,1,0.17%
SEGKEY,748465,1,0.17%
SEGKEY,750475,1,0.17%
SEGKEY,<NULL>,57,9.63%
SERVSTAT,A,1,0.17%
SERVSTAT,AI,4,0.68%
SERVSTAT,I,259,43.75%
SERVSTAT,I+,152,25.68%
SERVSTAT,I-,137,23.14%
SERVSTAT,O,11,1.86%
SERVSTAT,REM,1,0.17%
SERVSTAT,T,4,0.68%
SERVSTAT,<NULL>,23,3.89%
STKEY,1,531,89.70%
STKEY,1591,1,0.17%
STKEY,1594,1,0.17%
STKEY,2178,1,0.17%
STKEY,2436,1,0.17%
STKEY,<NULL>,57,9.63%
SUBAREA,29,1,0.17%
SUBAREA,SW6,2,0.34%
SUBAREA,SW7,1,0.17%
SUBAREA,<NULL>,588,99.32%
UNITTYPE,2WAY,1,0.17%
UNITTYPE,3WAY,1,0.17%
UNITTYPE,4WAY,299,50.51%
UNITTYPE,ARCHLI,21,3.55%
UNITTYPE,CAMERA,31,5.24%
UNITTYPE,ESPLOC,4,0.68%
UNITTYPE,FLHBCN,8,1.35%
UNITTYPE,FLHWRN,14,2.36%
UNITTYPE,LITRAL,24,4.05%
UNITTYPE,NODE,4,0.68%
UNITTYPE,PED1,1,0.17%
UNITTYPE,PEDXWN,26,4.39%
UNITTYPE,SCHFLH,109,18.41%
UNITTYPE,SPDRDR,48,8.11%
UNITTYPE,<NULL>,1,0.17%
BGTNO,FY17 GF 10 310 322,1,0.17%
BGTNO,<NULL>,591,99.83%
EXPBY,12105,1,0.17%
EXPBY,<NULL>,591,99.83%
EXPDATE,2005-10-28 00:00:00,1,0.17%
EXPDATE,<NULL>,591,99.83%
PRCLKEY,1,535,90.37%
PRCLKEY,<NULL>,57,9.63%
CREATEDBY,AJJOHNS,1,0.17%
CREATEDBY,ETILLMA,48,8.11%
CREATEDBY,KTWIFOR,6,1.01%
CREATEDBY,MSARGEN,525,88.68%
CREATEDBY,MSTRALE,12,2.03%
MODIFIEDBY,AJJOHNS,1,0.17%
MODIFIEDBY,ETILLMA,40,6.76%
MODIFIEDBY,KTWIFOR,65,10.98%
MODIFIEDBY,MSARGEN,463,78.21%
MODIFIEDBY,MSTRALE,23,3.89%
REDLIGHTCAM,N,530,89.53%
REDLIGHTCAM,Y,2,0.34%
REDLIGHTCAM,<NULL>,60,10.14%
InLucity,0,3,0.51%
InLucity,1,589,99.49%
