Field_Name,Unique_Value,Count,Percentage
CAR_SPEED_LIMIT,10,1,0.00%
CAR_SPEED_LIMIT,15,71,0.18%
CAR_SPEED_LIMIT,20,45,0.12%
CAR_SPEED_LIMIT,25,19176,49.52%
CAR_SPEED_LIMIT,30,782,2.02%
CAR_SPEED_LIMIT,35,6595,17.03%
CAR_SPEED_LIMIT,40,1762,4.55%
CAR_SPEED_LIMIT,45,5875,15.17%
CAR_SPEED_LIMIT,50,347,0.90%
CAR_SPEED_LIMIT,55,2502,6.46%
CAR_SPEED_LIMIT,60,790,2.04%
CAR_SPEED_LIMIT,65,443,1.14%
CAR_SPEED_LIMIT,70,328,0.85%
CAR_SPEED_LIMIT,<NULL>,6,0.02%
TRUCK_SPEED_LIMIT,10,1,0.00%
TRUCK_SPEED_LIMIT,15,71,0.18%
TRUCK_SPEED_LIMIT,20,45,0.12%
TRUCK_SPEED_LIMIT,25,19177,49.52%
TRUCK_SPEED_LIMIT,30,782,2.02%
TRUCK_SPEED_LIMIT,35,6597,17.04%
TRUCK_SPEED_LIMIT,40,1770,4.57%
TRUCK_SPEED_LIMIT,45,6058,15.64%
TRUCK_SPEED_LIMIT,50,274,0.71%
TRUCK_SPEED_LIMIT,55,2399,6.20%
TRUCK_SPEED_LIMIT,60,769,1.99%
TRUCK_SPEED_LIMIT,65,443,1.14%
TRUCK_SPEED_LIMIT,70,328,0.85%
TRUCK_SPEED_LIMIT,<NULL>,9,0.02%
SPEEDZONE_TYPE_DSC,Conventional,37684,97.32%
SPEEDZONE_TYPE_DSC,Variable Others,8,0.02%
SPEEDZONE_TYPE_DSC,Variable School,1026,2.65%
SPEEDZONE_TYPE_DSC,<NULL>,5,0.01%
AUTHORITY_DSC,Resolution,22001,56.82%
AUTHORITY_DSC,Statutory,16717,43.17%
AUTHORITY_DSC,<NULL>,5,0.01%
LOC_COMP_DIRECTIONALITY_NAME,Bidirectional,30324,78.31%
LOC_COMP_DIRECTIONALITY_NAME,Master Non-Prime,4067,10.50%
LOC_COMP_DIRECTIONALITY_NAME,Master Prime,4325,11.17%
LOC_COMP_DIRECTIONALITY_NAME,Unknown,7,0.02%
RADAR_STUDY_RECEIVED_DATE,<NULL>,38723,100.00%
EVENT_COMPONENT_ID,1,38716,99.98%
EVENT_COMPONENT_ID,2,6,0.02%
EVENT_COMPONENT_ID,3,1,0.00%
RTE_TYPE_CD,FR,83,0.21%
RTE_TYPE_CD,IS,777,2.01%
RTE_TYPE_CD,SC,29178,75.35%
RTE_TYPE_CD,SR,3379,8.73%
RTE_TYPE_CD,ST,176,0.45%
RTE_TYPE_CD,US,5130,13.25%
RTE_TYPE_NM,Frontage Road,83,0.21%
RTE_TYPE_NM,Interstate,777,2.01%
RTE_TYPE_NM,Secondary Route,29178,75.35%
RTE_TYPE_NM,State Route,3379,8.73%
RTE_TYPE_NM,Street Route,176,0.45%
RTE_TYPE_NM,U.S. Route,5130,13.25%
FROM_DISTRICT,Bristol,2592,6.69%
FROM_DISTRICT,Culpeper,3176,8.20%
FROM_DISTRICT,Fredericksburg,5954,15.38%
FROM_DISTRICT,Hampton Roads,2876,7.43%
FROM_DISTRICT,Lynchburg,3121,8.06%
FROM_DISTRICT,Northern Virginia,8724,22.53%
FROM_DISTRICT,Richmond,4948,12.78%
FROM_DISTRICT,Salem,4039,10.43%
FROM_DISTRICT,Staunton,3264,8.43%
FROM_DISTRICT,<NULL>,29,0.07%
TO_DISTRICT,Bristol,2591,6.69%
TO_DISTRICT,Culpeper,3179,8.21%
TO_DISTRICT,Fredericksburg,5953,15.37%
TO_DISTRICT,Hampton Roads,2877,7.43%
TO_DISTRICT,Lynchburg,3119,8.05%
TO_DISTRICT,Northern Virginia,8710,22.49%
TO_DISTRICT,Richmond,4939,12.75%
TO_DISTRICT,Salem,4037,10.43%
TO_DISTRICT,Staunton,3263,8.43%
TO_DISTRICT,<NULL>,55,0.14%
