Field_Name,Unique_Value,Count,Percentage
RIM_FACILI,1-One-Way Undivided,5899,4.18%
RIM_FACILI,2-One-Way Divided,29,0.02%
RIM_FACILI,3-Two-Way Undivided,118691,84.09%
RIM_FACILI,4-Two-Way Divided,16505,11.69%
RIM_FACILI,5-Reversible Exclusively (e.g. 395R),23,0.02%
RIM_FACILI,7-Planned/Unbuilt Planned Roadway that has yet to be constructed,3,0.00%
RIM_FACILI,8-Trail,2,0.00%
LANE_THRU_,0.0,32160,22.78%
LANE_THRU_,1.0,100896,71.48%
LANE_THRU_,2.0,7100,5.03%
LANE_THRU_,3.0,766,0.54%
LANE_THRU_,4.0,182,0.13%
LANE_THRU_,5.0,43,0.03%
LANE_THRU_,6.0,4,0.00%
LANE_THRU_,7.0,1,0.00%
LANE_THRU1,0.0,32640,23.12%
LANE_THRU1,1.0,100672,71.32%
LANE_THRU1,2.0,6892,4.88%
LANE_THRU1,3.0,734,0.52%
LANE_THRU1,4.0,178,0.13%
LANE_THRU1,5.0,30,0.02%
LANE_THRU1,6.0,6,0.00%
LANE_THR_1,0.0,12009,8.51%
LANE_THR_1,1.0,116467,82.51%
LANE_THR_1,2.0,11107,7.87%
LANE_THR_1,3.0,1274,0.90%
LANE_THR_1,4.0,250,0.18%
LANE_THR_1,5.0,40,0.03%
LANE_THR_1,6.0,5,0.00%
LANE_REVER,0,141139,99.99%
LANE_REVER,1,5,0.00%
LANE_REVER,2,7,0.00%
LANE_REVER,3,1,0.00%
RIM_ACCESS,"1-Full – access only at interchanges (interstate, etc.)",3022,2.14%
RIM_ACCESS,2-Partial – no private accessl,1495,1.06%
RIM_ACCESS,"3-None – Private access (driveways, etc.) permitted",136635,96.80%
RIM_COUPLE,N,140917,99.83%
RIM_COUPLE,Y,235,0.17%
LANE_THR_2,0.0,35700,25.29%
LANE_THR_2,1.0,99054,70.18%
LANE_THR_2,2.0,5742,4.07%
LANE_THR_2,3.0,538,0.38%
LANE_THR_2,4.0,97,0.07%
LANE_THR_2,5.0,18,0.01%
LANE_THR_2,6.0,3,0.00%
LANE_THR_3,0.0,35898,25.43%
LANE_THR_3,1.0,98943,70.10%
LANE_THR_3,2.0,5675,4.02%
LANE_THR_3,3.0,530,0.38%
LANE_THR_3,4.0,90,0.06%
LANE_THR_3,5.0,14,0.01%
LANE_THR_3,6.0,2,0.00%
LANE_THR_4,0.0,16358,11.59%
LANE_THR_4,1.0,114209,80.91%
LANE_THR_4,2.0,9420,6.67%
LANE_THR_4,3.0,973,0.69%
LANE_THR_4,4.0,162,0.11%
LANE_THR_4,5.0,25,0.02%
LANE_THR_4,6.0,5,0.00%
RIM_SHOULD, ,125330,88.79%
RIM_SHOULD,Bituminous concrete surfaced,2123,1.50%
RIM_SHOULD,Combination Bituminous and Portland Cement,23,0.02%
RIM_SHOULD,Combination Paved and Unpaved,341,0.24%
RIM_SHOULD,"Has two or more surface types; i.e., part of the shoulder width is surfaced and a part is earth",635,0.45%
RIM_SHOULD,No shoulder in front of curb,4454,3.16%
RIM_SHOULD,No shoulders or curbs exist,2961,2.10%
RIM_SHOULD,"Not surfaced or stabilized, such as grass or soil",3514,2.49%
RIM_SHOULD,Portland cement concrete surfaced,59,0.04%
RIM_SHOULD,Stabilized gravel or other granular material with or without admixture,1712,1.21%
RIM_SHOU_1, ,124959,88.53%
RIM_SHOU_1,Bituminous concrete surfaced,2286,1.62%
RIM_SHOU_1,Combination Bituminous and Portland Cement,31,0.02%
RIM_SHOU_1,Combination Paved and Unpaved,367,0.26%
RIM_SHOU_1,"Has two or more surface types; i.e., part of the shoulder width is surfaced and a part is earth",637,0.45%
RIM_SHOU_1,No shoulder in front of curb,4498,3.19%
RIM_SHOU_1,No shoulders or curbs exist,3014,2.14%
RIM_SHOU_1,"Not surfaced or stabilized, such as grass or soil",3593,2.55%
RIM_SHOU_1,Portland cement concrete surfaced,59,0.04%
RIM_SHOU_1,Stabilized gravel or other granular material with or without admixture,1708,1.21%
