layer,field_name,alias,type,length,precision,scale
CrashData_Basic,OBJECTID,OBJECTID,OID,4,0,0
CrashData_Basic,SHAPE,SHAPE,Geometry,0,0,0
CrashData_Basic,DOCUMENT_NBR,Document Nbr,Integer,4,0,0
CrashData_Basic,CRASH_YEAR,Crash Year,String,4,0,0
CrashData_Basic,CRASH_DT,Crash Date,Date,8,0,0
CrashData_Basic,CRASH_MILITARY_TM,Crash Military Time,String,4,0,0
CrashData_Basic,CRASH_SEVERITY,Crash Severity,String,1,0,0
CrashData_Basic,K_PEOPLE,K_People,SmallInteger,2,0,0
CrashData_Basic,A_PEOPLE,A_People,SmallInteger,2,0,0
CrashData_Basic,B_PEOPLE,B_People,SmallInteger,2,0,0
CrashData_Basic,C_PEOPLE,C_People,SmallInteger,2,0,0
CrashData_Basic,PERSONS_INJURED,Persons Injured,SmallInteger,2,0,0
CrashData_Basic,PEDESTRIANS_KILLED,Pedestrians Killed,SmallInteger,2,0,0
CrashData_Basic,PEDESTRIANS_INJURED,Pedestrians Injured,SmallInteger,2,0,0
CrashData_Basic,VEH_COUNT,Vehicle Count,SmallInteger,2,0,0
CrashData_Basic,COLLISION_TYPE,Collision Type,String,255,0,0
CrashData_Basic,WEATHER_CONDITION,Weather Condition,String,255,0,0
CrashData_Basic,LIGHT_CONDITION,Light Condition,String,255,0,0
CrashData_Basic,ROADWAY_SURFACE_COND,Roadway Surface Condition,String,255,0,0
CrashData_Basic,RELATION_TO_ROADWAY,Relation To Roadway,String,255,0,0
CrashData_Basic,ROADWAY_ALIGNMENT,Roadway Alignment,String,255,0,0
CrashData_Basic,ROADWAY_SURFACE_TYPE,Roadway Surface Type,String,255,0,0
CrashData_Basic,ROADWAY_DEFECT,Roadway Defect,String,255,0,0
CrashData_Basic,ROADWAY_DESCRIPTION,Roadway Description,String,255,0,0
CrashData_Basic,INTERSECTION_TYPE,Intersection Type,String,255,0,0
CrashData_Basic,TRAFFIC_CONTROL_TYPE,Traffic Control Type,String,255,0,0
CrashData_Basic,TRFC_CTRL_STATUS_TYPE,Traffic Control Status,String,255,0,0
CrashData_Basic,WORK_ZONE_RELATED,Work Zone Related,String,255,0,0
CrashData_Basic,WORK_ZONE_LOCATION,Work Zone Location,String,255,0,0
CrashData_Basic,WORK_ZONE_TYPE,Work Zone Type,String,255,0,0
CrashData_Basic,SCHOOL_ZONE,School Zone,String,255,0,0
CrashData_Basic,FIRST_HARMFUL_EVENT,First Harmful Event,String,255,0,0
CrashData_Basic,FIRST_HARMFUL_EVENT_LOC,First Harmful Event Loc,String,255,0,0
CrashData_Basic,ALCOHOL_NOTALCOHOL,Alcohol?,String,3,0,0
CrashData_Basic,ANIMAL,Animal Related?,String,3,0,0
CrashData_Basic,BELTED_UNBELTED,Unrestrained?,String,10,0,0
CrashData_Basic,BIKE_NONBIKE,Bike?,String,3,0,0
CrashData_Basic,DISTRACTED_NOTDISTRACTED,Distracted?,String,3,0,0
CrashData_Basic,DROWSY_NOTDROWSY,Drowsy?,String,3,0,0
CrashData_Basic,DRUG_NODRUG,Drug Related?,String,3,0,0
CrashData_Basic,GR_NOGR,Guardrail Related?,String,3,0,0
CrashData_Basic,HITRUN_NOT_HITRUN,Hitrun?,String,3,0,0
CrashData_Basic,LGTRUCK_NONLGTRUCK,Lgtruck?,String,3,0,0
CrashData_Basic,MOTOR_NONMOTOR,Motorcycle?,String,3,0,0
CrashData_Basic,PED_NONPED,Pedestrian?,String,3,0,0
CrashData_Basic,SPEED_NOTSPEED,Speed?,String,3,0,0
CrashData_Basic,SPEED_DIFF_MAX,Max Speed Diff,SmallInteger,2,0,0
CrashData_Basic,RD_TYPE,RoadDeparture Type,String,255,0,0
CrashData_Basic,INTERSECTION_ANALYSIS,Intersection Analysis,String,255,0,0
CrashData_Basic,SENIOR_NOTSENIOR,Senior?,String,3,0,0
CrashData_Basic,YOUNG_NOTYOUNG,Young?,String,3,0,0
CrashData_Basic,MAINLINE_YN,Mainline?,String,3,0,0
CrashData_Basic,NIGHT,Night?,String,3,0,0
CrashData_Basic,VDOT_DISTRICT,VDOT District,String,255,0,0
CrashData_Basic,JURIS_CODE,Juris Code,String,3,0,0
CrashData_Basic,PHYSICAL_JURIS,Physical Juris Name,String,255,0,0
CrashData_Basic,FUN,Functional Class,String,255,0,0
CrashData_Basic,FAC,Facility Type,String,255,0,0
CrashData_Basic,AREA_TYPE,Area Type,String,10,0,0
CrashData_Basic,SYSTEM,SYSTEM,String,255,0,0
CrashData_Basic,VSP,VSP,String,1,0,0
CrashData_Basic,OWNERSHIP,Ownership,String,255,0,0
CrashData_Basic,PLAN_DISTRICT,Planning District,String,255,0,0
CrashData_Basic,MPO_NAME,MPO Name,String,255,0,0
CrashData_Basic,RTE_NM,RTE Name,String,255,0,0
CrashData_Basic,RNS_MP,RNS MP,Double,8,0,0
CrashData_Basic,NODE,Node,String,8,0,0
CrashData_Basic,OFFSET,Node Offset (ft),Double,8,0,0
Hampton_Signals,OBJECTID,OBJECTID,OID,4,0,0
Hampton_Signals,Shape,Shape,Geometry,0,0,0
Hampton_Signals,OBJECTID_1,OBJECTID_1,Double,8,0,0
Hampton_Signals,INID,INID,Double,8,0,0
Hampton_Signals,INTNO,INTNO,String,2000000000,0,0
Hampton_Signals,INTNUM,INTNUM,String,2000000000,0,0
Hampton_Signals,SIGNAL_NO,SIGNAL_NO,Double,8,0,0
Hampton_Signals,IntType,IntType,String,2000000000,0,0
HMMS_TrafficSignals_Flat,OBJECTID,OBJECTID,OID,4,0,0
HMMS_TrafficSignals_Flat,SHAPE,SHAPE,Geometry,0,0,0
HMMS_TrafficSignals_Flat,ASSET_ID,Asset ID,Integer,4,0,0
HMMS_TrafficSignals_Flat,REG_SIGNAL_ID,Region Signal ID,String,50,0,0
HMMS_TrafficSignals_Flat,ASSET_NUM,Asset Number,String,50,0,0
HMMS_TrafficSignals_Flat,ASSET_SUBTYPE,Asset SubType,String,50,0,0
HMMS_TrafficSignals_Flat,ASSET_GROUP,Asset Group,String,50,0,0
HMMS_TrafficSignals_Flat,STATUS,Asset Status,String,50,0,0
HMMS_TrafficSignals_Flat,DISTRICT,District,String,50,0,0
HMMS_TrafficSignals_Flat,MAINT_JURISDICTION,Maintenance Jurisdiction,String,50,0,0
HMMS_TrafficSignals_Flat,MAJ_NAME,Major Route Name,String,150,0,0
HMMS_TrafficSignals_Flat,MAJ_NUM,Major Route Number,String,50,0,0
HMMS_TrafficSignals_Flat,ROUTE_TYPE,Route Type,String,50,0,0
HMMS_TrafficSignals_Flat,MINOR_NAME,Minor Route Name,String,150,0,0
HMMS_TrafficSignals_Flat,MINOR_NUM,Minor Route Number,String,50,0,0
HMMS_TrafficSignals_Flat,INSTALL_DATE,Latest Install/Modification Date,Date,8,0,0
HMMS_TrafficSignals_Flat,MAINT_RESP,Maintenance Responsibility,String,50,0,0
HMMS_TrafficSignals_Flat,COORDINATION,Isolated versus Coordinated,String,50,0,0
HMMS_TrafficSignals_Flat,SIGNAL_MODE,Advanced Signal Mode Present,String,50,0,0
HMMS_TrafficSignals_Flat,UPS,UPS Present?,String,50,0,0
HMMS_TrafficSignals_Flat,PREEMPTION,Pre-emption Present?,String,50,0,0
HMMS_TrafficSignals_Flat,PEDSIGNAL,Pedestrian Signals?,String,50,0,0
HMMS_TrafficSignals_Flat,DETECTION,Detection?,String,50,0,0
HMMS_TrafficSignals_Flat,COMMENTS,Comments,String,250,0,0
HMMS_TrafficSignals_Flat,CREATED_USER,CREATED_USER,String,255,0,0
HMMS_TrafficSignals_Flat,CREATED_DATE,CREATED_DATE,Date,8,0,0
HMMS_TrafficSignals_Flat,LAST_EDITED_USER,LAST_EDITED_USER,String,255,0,0
HMMS_TrafficSignals_Flat,LAST_EDITED_DATE,LAST_EDITED_DATE,Date,8,0,0
HMMS_TrafficSignals_Flat,FYA,Flashing Yellow Arrow (FYA)?,String,70,0,0
HMMS_TrafficSignals_Flat,HVSB,High Visibility Signal Backplate(HVSB)?,String,70,0,0
HMMS_TrafficSignals_Flat,APS,Access Pedestrian Signal (APS)?,String,70,0,0
HMMS_TrafficSignals_Flat,PROJECTUPC,Project UPC,String,10,0,0
HMMS_TrafficSignals_Flat,ATSPM,Automated Traffic Signal Performance Metrics?,String,5,0,0
layer_lrspoint,OBJECTID,OBJECTID,OID,4,0,0
layer_lrspoint,SHAPE,SHAPE,Geometry,0,0,0
layer_lrspoint,id,id,String,65536,0,0
layer_lrspoint,UNKNOWN,UNKNOWN,String,65536,0,0
layer_lrspoint,_editId,_editId,String,65536,0,0
layer_lrspoint,_layerId,_layerId,String,65536,0,0
layer_lrspoint,INDUSTRIAL,INDUSTRIAL,String,65536,0,0
layer_lrspoint,_createdBy,_createdBy,String,65536,0,0
layer_lrspoint,_createdOn,_createdOn,Date,8,0,0
layer_lrspoint,_featureId,_featureId,String,65536,0,0
layer_lrspoint,RESIDENTIAL,RESIDENTIAL,String,65536,0,0
layer_lrspoint,_modifiedBy,_modifiedBy,String,65536,0,0
layer_lrspoint,_modifiedOn,_modifiedOn,String,65536,0,0
layer_lrspoint,CROSS_STREET,CROSS_STREET,String,65536,0,0
layer_lrspoint,_geometryType,_geometryType,String,65536,0,0
layer_lrspoint,ACCESS_CONTROL,ACCESS_CONTROL,String,65536,0,0
layer_lrspoint,ACCESS_DIRECTION,ACCESS_DIRECTION,String,65536,0,0
layer_lrspoint,COMMERCIAL_RETAIL,COMMERCIAL_RETAIL,String,65536,0,0
layer_lrspoint,NUMBER_OF_APPROACHES,NUMBER_OF_APPROACHES,String,65536,0,0
layer_lrspoint,GOV_SCHOOL_INSTITUTIONAL,GOV_SCHOOL_INSTITUTIONAL,String,65536,0,0
layer_lrspoint,TURN_LANES_PRIMARY_ROUTE,TURN_LANES_PRIMARY_ROUTE,String,65536,0,0
layer_lrspoint,_rte_nm,_rte_nm,String,65536,0,0
layer_lrspoint,_m,_m,Double,8,0,0
layer_lrspoint,_x,_x,Double,8,0,0
layer_lrspoint,_y,_y,Double,8,0,0
layer_lrspoint,geometryType,geometryType,String,65536,0,0
New_AADT,OBJECTID,OBJECTID,OID,4,0,0
New_AADT,SHAPE,SHAPE,Geometry,0,0,0
New_AADT,RTE_NM,RTE_NM,String,65536,0,0
New_AADT,FROM_MEASURE,FROM_MEASURE,String,65536,0,0
New_AADT,TO_MEASURE,TO_MEASURE,String,65536,0,0
New_AADT,TMPD_RECOMMENDATIONS,TMPD_RECOMMENDATIONS,String,65536,0,0
New_AADT,LINKID,LINKID,String,65536,0,0
New_AADT,AADT_YR,AADT_YR,Integer,4,0,0
New_AADT,AADT,AADT,Double,8,0,0
