Field_Name,Unique_Value,Count,Percentage
UNKNOWN,<NULL>,70595,100.00%
_layerId,07a673a7-da75-46d4-976b-e1bd1eea35b8,70595,100.00%
INDUSTRIAL,<NULL>,70595,100.00%
_createdBy,4baecead-ca71-40f1-8783-7d1ea869faba,70595,100.00%
RESIDENTIAL,<NULL>,70595,100.00%
_modifiedBy,<NULL>,70595,100.00%
_modifiedOn,<NULL>,70595,100.00%
CROSS_STREET,<NULL>,70595,100.00%
_geometryType,LrsPoint,70595,100.00%
ACCESS_CONTROL,<NULL>,70595,100.00%
ACCESS_DIRECTION,<NULL>,70595,100.00%
COMMERCIAL_RETAIL,<NULL>,70595,100.00%
NUMBER_OF_APPROACHES,,70595,100.00%
GOV_SCHOOL_INSTITUTIONAL,<NULL>,70595,100.00%
TURN_LANES_PRIMARY_ROUTE,<NULL>,70595,100.00%
geometryType,LrsPoint,70595,100.00%
