model_name,model_family,covariance_method,alpha,term,coefficient,standard_error,p_value,conf_int_lower,conf_int_upper,incidence_rate_ratio,irr_conf_int_lower,irr_conf_int_upper,reference_level_notes,poisson_sign,poisson_ci_crosses_one,estimated_nb_sign,estimated_nb_irr,estimated_nb_irr_lower,estimated_nb_irr_upper,estimated_nb_ci_crosses_one,fixed_alpha_1_sign,fixed_alpha_1_irr,fixed_alpha_1_irr_lower,fixed_alpha_1_irr_upper,fixed_alpha_1_ci_crosses_one,coefficient_direction_agreement_estimated_nb,coefficient_direction_agreement_fixed_alpha_1
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]",-0.2800366012740884,0.06634312483158222,2.4318399474498853e-05,-0.4100667365658345,-0.15000646598234232,0.7557560793140908,0.6636059618755498,0.860702411120473,"reference analysis window is 0-1,000 ft",negative,False,negative,0.7557560793140918,,,,negative,0.8018258162296745,0.7209140283530664,0.8918187388323544,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",-0.09638096103694449,0.1098027211626444,0.38007138307587895,-0.31159033992022156,0.11882841784633255,0.9081179925900343,0.7322814532690266,1.1261766698914089,"reference access density is 0 per 1,000 ft",negative,True,negative,0.9081179925900346,,,,negative,0.860616483149164,0.6906570373536247,1.0724001798432525,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(local_access_density_label, Treatment(reference='0'))[T.1-3]",0.26754290877856035,0.0699319294780147,0.0001303682698460072,0.1304788456322566,0.4046069719248641,1.3067496996666323,1.1393738369054767,1.498713347865383,"reference access density is 0 per 1,000 ft",positive,False,positive,1.3067496996666317,,,,positive,1.1093261789697857,0.955139548512945,1.2884029074742336,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(local_access_density_label, Treatment(reference='0'))[T.3-6]",0.09186932466455587,0.09923449316567051,0.3545602413291684,-0.10262670796424446,0.2863653572933562,1.0962215636003012,0.9024637931580975,1.3315788684408418,"reference access density is 0 per 1,000 ft",positive,True,positive,1.0962215636002999,,,,positive,1.0378247138317398,0.8389299850966078,1.283873691218583,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(local_access_density_label, Treatment(reference='0'))[T.6+]",-0.2485931706237624,0.23122560263223094,0.28232507052893097,-0.701787024086505,0.20460068283898014,0.7798971939419452,0.4956986863318555,1.227034990993141,"reference access density is 0 per 1,000 ft",negative,True,negative,0.7798971939419425,,,,negative,0.5576484216167709,0.37262718274785517,0.8345385858285609,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(signal_relative_direction_model, Treatment(reference='downstream'))[T.upstream]",-0.0097606388791086,0.04726205327283644,0.8363834276375832,-0.10239256112928141,0.0828712833710642,0.9902868415512076,0.9026751269395368,1.086401961549954,reference direction is downstream,negative,True,negative,0.9902868415512001,,,,negative,0.9446420933822058,0.8666066910517783,1.029704355855475,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.<30 mph]",0.3375317943100327,0.09138273204444874,0.0002210964091298205,0.15842493069403887,0.5166386579260266,1.4014841669057243,1.171663964923053,1.6763832710485596,reference simplified speed band is 30-39 mph,positive,False,positive,1.4014841669057252,,,,positive,1.4053636402710326,1.2152094526490305,1.6252728754622923,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.40-49 mph]",0.05484096259136691,0.055199844682881916,0.32046708376254884,-0.053348744939286444,0.16303067012202027,1.0563725985547991,0.9480493274181474,1.1770727901009612,reference simplified speed band is 30-39 mph,positive,True,positive,1.0563725985547976,,,,positive,1.1684421880214915,1.0536092687343144,1.2957907520959018,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.50+ mph]",-0.20122673944144612,0.10256649700865174,0.04977239197822976,-0.4022533795988387,-0.00020009928405351207,0.8177269995691437,0.6688112610902497,0.999799920734473,reference simplified speed band is 30-39 mph,negative,False,negative,0.8177269995691412,,,,positive,1.0202212457848638,0.858573818985655,1.2123027366249215,True,True,False
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.missing/review speed]",0.16857760011114,0.11224826744530385,0.13314151410285932,-0.05142496140867536,0.3885801616309554,1.183620072330363,0.9498749245642671,1.4748852079298649,reference simplified speed band is 30-39 mph,positive,True,positive,1.1836200723303623,,,,positive,1.2917533863722177,1.070905773162365,1.5581453130807834,False,True,True
