reference_signal_id,signal_relative_direction,analysis_window,assigned_crash_count,v1_estimated_exposure,v2_direction_factor_adjusted_exposure,exposure_ratio_v2_to_v1,v1_rate_per_million,v2_rate_per_million,rate_ratio_v2_to_v1,direction_factor_applied_flag,direction_factor_missing_bidirectional_fallback_flag,direction_factor_invalid_review_flag,sensitivity_output_flag
signal_000007,downstream_of_reference_signal,high_priority_0_1000ft,0,1454919.2424242424,767906.3761515152,0.5278,0.0,0.0,,True,False,False,True
signal_000007,downstream_of_reference_signal,sensitivity_1000_2500ft,1,2297240.909090909,1212483.751818182,0.5278,0.4353048024012995,0.8247533201995065,1.8946570670708605,True,False,False,True
signal_000007,upstream_of_reference_signal,high_priority_0_1000ft,1,1454919.2424242424,767906.3761515152,0.5278,0.6873233722125783,1.3022420845255367,1.89465706707086,True,False,False,True
signal_000007,upstream_of_reference_signal,sensitivity_1000_2500ft,0,2297240.909090909,1212483.751818182,0.5278,0.0,0.0,,True,False,False,True
signal_000008,downstream_of_reference_signal,high_priority_0_1000ft,1,6103608.628173628,3437924.386674037,0.5632609487451297,0.1638375035031085,0.2908731803050018,1.7753760530139124,True,False,False,True
signal_000008,downstream_of_reference_signal,sensitivity_1000_2500ft,3,7927268.363636363,5538207.2001146,0.6986274396258911,0.3784405752883901,0.5416915423348412,1.4313780754667913,True,False,False,True
signal_000008,upstream_of_reference_signal,high_priority_0_1000ft,0,3744877.047502047,2623150.315459459,0.7004636686828435,0.0,0.0,,True,False,False,True
signal_000008,upstream_of_reference_signal,sensitivity_1000_2500ft,0,8360947.713498622,5630246.307327823,0.6733981003418879,0.0,0.0,,True,False,False,True
signal_000011,downstream_of_reference_signal,high_priority_0_1000ft,1,582914.2424242423,340596.79184848483,0.5843,1.7155182138648186,2.9360229571535483,1.7114495978093442,True,False,False,True
signal_000011,downstream_of_reference_signal,sensitivity_1000_2500ft,0,511051.5151515152,290890.52242424246,0.5692,0.0,0.0,,True,False,False,True
signal_000011,upstream_of_reference_signal,high_priority_0_1000ft,1,485498.9393939393,276345.9963030303,0.5692000000000002,2.0597367344372066,3.6186520281749943,1.7568517217146875,True,False,False,True
signal_000011,upstream_of_reference_signal,sensitivity_1000_2500ft,0,608466.8181818182,355141.31796969706,0.5836658752089517,0.0,0.0,,True,False,False,True
signal_000012,downstream_of_reference_signal,high_priority_0_1000ft,8,1406211.5909090906,740511.0237727271,0.5266,5.689044274502206,10.803350312385502,1.8989745537409797,True,False,False,True
signal_000012,downstream_of_reference_signal,sensitivity_1000_2500ft,4,2220334.0909090918,1169227.9322727271,0.5265999999999997,1.8015306869256975,3.421060932255409,1.8989745537409808,True,False,False,True
signal_000012,upstream_of_reference_signal,high_priority_0_1000ft,0,1406211.5909090906,740511.0237727271,0.5266,0.0,0.0,,True,False,False,True
signal_000012,upstream_of_reference_signal,sensitivity_1000_2500ft,1,2220334.0909090918,1169227.9322727271,0.5265999999999997,0.4503826717314244,0.8552652330638523,1.8989745537409808,True,False,False,True
signal_000013,downstream_of_reference_signal,high_priority_0_1000ft,3,538939.3181818181,300189.20022727276,0.5570000000000002,5.566489396470256,9.99369730066473,1.7953321364452417,True,False,False,True
signal_000013,downstream_of_reference_signal,sensitivity_1000_2500ft,1,850956.8181818182,473982.9477272728,0.557,1.1751477614770538,2.109780541251443,1.7953321364452424,True,False,False,True
signal_000013,upstream_of_reference_signal,high_priority_0_1000ft,1,538939.3181818181,300189.20022727276,0.5570000000000002,1.8554964654900852,3.33123243355491,1.7953321364452421,True,False,False,True
signal_000013,upstream_of_reference_signal,sensitivity_1000_2500ft,1,850956.8181818182,473982.9477272728,0.557,1.1751477614770538,2.109780541251443,1.7953321364452424,True,False,False,True
signal_000014,downstream_of_reference_signal,high_priority_0_1000ft,3,4760334.848484849,2681755.3425757578,0.5633543496271748,0.6302077680428007,1.1186702800109187,1.7750817059667598,True,False,False,True
signal_000014,downstream_of_reference_signal,sensitivity_1000_2500ft,2,6782994.545454546,3878576.000636364,0.5718088043039183,0.2948550211263622,0.5156531674696736,1.7488363111465781,True,False,False,True
signal_000014,upstream_of_reference_signal,high_priority_0_1000ft,1,3783026.666666667,2088150.7369090908,0.5519788573811509,0.2643386071822561,0.4788926308453257,1.8116635929580236,True,False,False,True
signal_000014,upstream_of_reference_signal,sensitivity_1000_2500ft,3,6324106.818181818,3564778.0839242428,0.5636808780135559,0.4743752890724417,0.8415671128390372,1.7740534387543145,True,False,False,True
signal_000018,downstream_of_reference_signal,high_priority_0_1000ft,4,3172110.454545455,2290785.846878788,0.7221645903269923,1.2609901380540598,1.74612568235046,1.3847258829835527,True,True,False,True
signal_000018,downstream_of_reference_signal,sensitivity_1000_2500ft,1,5008595.454545455,3617030.284545454,0.7221645903269923,0.1996567718585594,0.2764698997054895,1.3847258829835534,True,True,False,True
signal_000018,upstream_of_reference_signal,high_priority_0_1000ft,6,3172110.454545455,2290785.846878788,0.7221645903269923,1.89148520708109,2.61918852352569,1.3847258829835527,True,True,False,True
signal_000018,upstream_of_reference_signal,sensitivity_1000_2500ft,2,5008595.454545455,3617030.284545454,0.7221645903269923,0.3993135437171189,0.552939799410979,1.384725882983553,True,True,False,True
signal_000023,downstream_of_reference_signal,high_priority_0_1000ft,22,17184470.454545457,8970293.577272728,0.522,1.2802256582879334,2.4525395752642405,1.9157088122605366,True,False,False,True
signal_000023,downstream_of_reference_signal,sensitivity_1000_2500ft,4,3785418.064354543,1975988.2295930719,0.5220000000000001,1.056686456290277,2.0243035561116405,1.9157088122605352,True,False,False,True
signal_000023,upstream_of_reference_signal,high_priority_0_1000ft,18,16634704.875763634,8683315.945148617,0.522,1.0820751034919511,2.0729408112872627,1.9157088122605364,True,False,False,True
signal_000023,upstream_of_reference_signal,sensitivity_1000_2500ft,13,4247657.406954545,2217277.166430272,0.522,3.060510477779009,5.8630468922969525,1.9157088122605366,True,False,False,True
signal_000031,downstream_of_reference_signal,high_priority_0_1000ft,11,15956209.143393936,9639145.943524279,0.6041000000000001,0.6893868024131616,1.1411799410911465,1.6553550736633007,True,False,False,True
signal_000031,downstream_of_reference_signal,sensitivity_1000_2500ft,33,6342786.278303028,3831677.1907228595,0.6041000000000001,5.202760829713616,8.612416536523119,1.655355073663301,True,False,False,True
signal_000031,upstream_of_reference_signal,high_priority_0_1000ft,16,20452024.24242424,12355067.844848486,0.6041000000000002,0.7823186502395555,1.2950151468954734,1.6553550736633007,True,False,False,True
signal_000031,upstream_of_reference_signal,sensitivity_1000_2500ft,20,17846415.90191515,10781019.846346943,0.6041,1.120673199028929,1.8551120659310196,1.655355073663301,True,False,False,True
signal_000035,downstream_of_reference_signal,high_priority_0_1000ft,0,245105.45454545447,223634.21672727267,0.9124,0.0,0.0,,True,False,False,True
signal_000035,upstream_of_reference_signal,high_priority_0_1000ft,0,245105.45454545447,223634.21672727267,0.9124,0.0,0.0,,True,False,False,True
signal_000037,downstream_of_reference_signal,high_priority_0_1000ft,16,21194180.22727273,11063362.078636365,0.522,0.7549242211034497,1.4462149829568,1.9157088122605361,True,False,False,True
signal_000037,downstream_of_reference_signal,sensitivity_1000_2500ft,6,487351.5820909041,254397.525851452,0.5220000000000001,12.311440488728811,23.585135035878945,1.9157088122605361,True,False,False,True
