check_name,passed,observed,expected
no_crash_direction_fields_read_or_used,True,guarded reads reject crash-direction tokens,required
direction_factor_not_applied_to_v1_outputs,True,work\output\roadway_graph\analysis\current\descriptive_crash_rate_prototype\descriptive_rate_prototype_signal_direction_window.csv,same fingerprint before and after
v2_outputs_clearly_labeled_sensitivity,True,sensitivity_output_flag present,required
null_direction_factor_rows_use_bidirectional_fallback_and_are_flagged,True,594,all null-factor units flagged
no_models_or_regressions_fit,True,descriptive arithmetic only,required
no_rankings_policy_risk_language,True,outputs are grouped summaries and unordered unit comparisons only,required
all_v2_rates_at_approved_window_grain_only,True,reference_signal_id_signal_relative_direction_analysis_window,reference_signal_id_signal_relative_direction_analysis_window
no_raw_bin_rates_computed,True,bin context used only to aggregate adjusted AADT to window units,required
no_fixed_band_rates_computed,True,no fixed distance-band rate output created,required
no_signal_rankings_created,True,no sorted ranking output created,required
