reference_signal_id,directional_bin_count,assigned_crash_count,assigned_crashes_urban_count,assigned_crashes_rural_count,assigned_crashes_unknown_area_type_count,assigned_crashes_with_area_type_count,bins_with_assigned_crash,bins_with_access_context,bins_with_stable_speed_context,bins_with_stable_aadt_context,bins_with_urban_rural_context,bins_with_complete_core_context
signal_000007,98,2,0,2,0,2,2,98,98,98,0,0
signal_000008,188,4,0,4,0,4,3,188,188,184,0,0
signal_000011,156,2,0,2,0,2,2,156,156,156,0,0
signal_000012,98,13,0,13,0,13,8,98,98,98,0,0
signal_000013,98,6,0,6,0,6,6,98,98,98,0,0
signal_000014,392,9,0,9,0,9,9,392,392,392,0,0
signal_000018,294,13,6,7,0,13,11,294,294,294,0,0
signal_000023,75,57,57,0,0,57,28,75,75,75,0,0
signal_000031,121,80,80,0,0,80,42,121,121,121,0,0
signal_000035,24,0,0,0,0,0,0,24,24,24,0,0
signal_000037,76,37,37,0,0,37,18,76,76,76,0,0
signal_000040,28,5,5,0,0,5,3,28,20,28,0,0
signal_000042,148,17,17,0,0,17,12,148,138,148,0,0
signal_000046,271,15,11,4,0,15,14,271,271,269,0,0
signal_000047,64,10,10,0,0,10,8,64,64,64,0,0
signal_000048,162,13,0,13,0,13,11,162,162,162,0,0
signal_000054,196,10,0,10,0,10,7,196,196,195,0,0
signal_000056,144,13,0,13,0,13,11,144,144,144,0,0
signal_000059,268,27,27,0,0,27,19,268,268,268,0,0
signal_000060,50,16,16,0,0,16,12,50,38,50,0,0
signal_000061,72,5,5,0,0,5,5,72,72,72,0,0
signal_000064,184,33,33,0,0,33,21,184,184,184,0,0
signal_000066,94,10,10,0,0,10,9,94,94,94,0,0
signal_000068,98,2,2,0,0,2,2,98,98,98,0,0
signal_000071,52,2,2,0,0,2,2,52,52,52,0,0
signal_000072,162,6,6,0,0,6,6,162,0,162,0,0
signal_000073,224,1,1,0,0,1,1,224,0,220,0,0
signal_000085,132,26,26,0,0,26,20,132,132,132,0,0
signal_000086,100,38,38,0,0,38,29,100,100,100,0,0
signal_000087,118,10,10,0,0,10,8,118,69,118,0,0
signal_000089,204,56,56,0,0,56,37,204,170,200,0,0
signal_000090,112,6,6,0,0,6,5,112,98,112,0,0
signal_000091,42,2,2,0,0,2,2,42,42,40,0,0
signal_000093,206,11,10,1,0,11,11,206,206,195,0,0
signal_000101,246,35,35,0,0,35,29,246,246,243,0,0
signal_000102,51,24,24,0,0,24,9,51,51,51,0,0
signal_000106,86,5,5,0,0,5,4,86,86,86,0,0
signal_000107,26,1,1,0,0,1,1,26,26,22,0,0
signal_000115,98,2,1,1,0,2,2,98,98,98,0,0
signal_000118,156,16,16,0,0,16,13,156,156,139,0,0
signal_000124,220,17,7,10,0,17,13,220,220,220,0,0
signal_000130,116,9,7,2,0,9,7,116,116,116,0,0
signal_000137,198,65,65,0,0,65,41,198,198,193,0,0
