check_name,passed,observed,expected
one_row_per_0_2500ft_directional_bin,True,110710,110710
crash_counts_match_readiness_0_2500ft,True,13216,13216
total_assigned_crashes_preserved,True,13216,13216
access_counts_preserved,True,3262,3262
speed_v5_used_as_active_speed,True,105835,105835
aadt_v3_context_preserved,True,106210,106210
aadt_v2_denominator_policy_flag_present,True,v2_direction_factor_with_bidirectional_fallback,v2_direction_factor_with_bidirectional_fallback
old_and_active_outputs_separated,True,work\output\roadway_graph\analysis\current\directional_bin_context_table_active,separate_active_output_folder
scaffold_catchment_crash_assignment_access_logic_unchanged,True,accepted inputs reused,unchanged
crash_direction_fields_read_or_used,True,False,False
models_fit,True,False,False
policy_risk_safety_performance_claims_introduced,True,False,False
