metric,value,count
aadt_records_considered,,677597
directional_bins_in_context_window,0-2500ft,110710
base_bins_in_context_window,0-2500ft,78292
bins_with_stable_aadt,,106210
route_measure_stable_bins,,106210
stable_single_route_candidate_bins,,0
review_no_measure_overlap_bins,,510
review_measure_missing_bins,,0
review_multi_candidate_route_measure_bins,,1878
ambiguous_conflicting_aadt_bins,,473
no_route_compatible_aadt_match_bins,,1639
crashes_inheriting_stable_aadt,,12630
reference_signals_with_stable_aadt,,954
paired_pseudo_direction_groups,,64396
paired_pseudo_direction_inconsistent_groups,,0
aadt_ready_as_strong_flagged_context_layer,True,
crash_direction_fields_read_or_used,False,
aadt_used_for_upstream_downstream,False,
bins_by_distance_window,high_priority_0_1000ft,66074
stable_aadt_bins_by_distance_window,high_priority_0_1000ft,62565
review_no_measure_overlap_bins_by_distance_window,high_priority_0_1000ft,359
ambiguous_aadt_bins_by_distance_window,high_priority_0_1000ft,302
missing_aadt_bins_by_distance_window,high_priority_0_1000ft,1202
bins_by_distance_window,sensitivity_1000_2500ft,44636
stable_aadt_bins_by_distance_window,sensitivity_1000_2500ft,43645
review_no_measure_overlap_bins_by_distance_window,sensitivity_1000_2500ft,151
ambiguous_aadt_bins_by_distance_window,sensitivity_1000_2500ft,171
missing_aadt_bins_by_distance_window,sensitivity_1000_2500ft,437
bins_by_signal_relative_direction,downstream_of_reference_signal,55370
stable_aadt_bins_by_signal_relative_direction,downstream_of_reference_signal,53100
review_no_measure_overlap_bins_by_signal_relative_direction,downstream_of_reference_signal,256
ambiguous_aadt_bins_by_signal_relative_direction,downstream_of_reference_signal,248
bins_by_signal_relative_direction,upstream_of_reference_signal,55340
stable_aadt_bins_by_signal_relative_direction,upstream_of_reference_signal,53110
review_no_measure_overlap_bins_by_signal_relative_direction,upstream_of_reference_signal,254
ambiguous_aadt_bins_by_signal_relative_direction,upstream_of_reference_signal,225
stable_aadt_bins_by_aadt_year,1997,28
stable_aadt_bins_by_aadt_year,2000,102
stable_aadt_bins_by_aadt_year,2001,216
stable_aadt_bins_by_aadt_year,2002,184
stable_aadt_bins_by_aadt_year,2003,59
stable_aadt_bins_by_aadt_year,2004,46
stable_aadt_bins_by_aadt_year,2005,285
stable_aadt_bins_by_aadt_year,2006,6
stable_aadt_bins_by_aadt_year,2008,416
stable_aadt_bins_by_aadt_year,2009,759
stable_aadt_bins_by_aadt_year,2010,470
stable_aadt_bins_by_aadt_year,2011,326
stable_aadt_bins_by_aadt_year,2012,70
stable_aadt_bins_by_aadt_year,2013,151
stable_aadt_bins_by_aadt_year,2014,1265
stable_aadt_bins_by_aadt_year,2015,1211
stable_aadt_bins_by_aadt_year,2016,549
stable_aadt_bins_by_aadt_year,2017,478
stable_aadt_bins_by_aadt_year,2018,200
stable_aadt_bins_by_aadt_year,2019,966
stable_aadt_bins_by_aadt_year,2022,1287
stable_aadt_bins_by_aadt_year,2023,1027
stable_aadt_bins_by_aadt_year,2024,96109
