dataset,field_name,field_roles,row_count,null_count,duplicate_non_null_count,unique_non_null_count
aadt_source,RTE_NM,likely_route_or_road_name,677597,6807,530905,139885
aadt_source,FROM_MEASURE,likely_route_measure_or_extent,677597,677597,0,0
aadt_source,TO_MEASURE,likely_route_measure_or_extent,677597,677597,0,0
aadt_source,LINKID,likely_source_id,677597,755,555160,121682
aadt_source,AADT_YR,likely_volume_metadata|likely_year,677597,33313,644259,25
aadt_source,AADT,likely_aadt_value,677597,33313,632953,11331
aadt_source,AAWDT,likely_aawdt_value,677597,369031,297155,11411
aadt_source,DIRECTION_FACTOR,likely_directionality,677597,368427,306196,2974
aadt_source,DIRECTIONALITY,likely_directionality,677597,368427,309168,2
aadt_source,MASTER_RTE_NM,likely_route_or_road_name,677597,0,602918,74679
aadt_source,TRANSPORT_EDGE_FROM_MSR,likely_route_measure_or_extent,677597,0,636176,41421
aadt_source,TRANSPORT_EDGE_TO_MSR,likely_route_measure_or_extent,677597,0,636106,41491
aadt_source,EDGE_RTE_KEY,likely_source_id|likely_route_or_road_name,677597,0,0,677597
aadt_source,geometry,likely_geometry,677597,0,311494,366103
