reference_signal_id,distance_window,signal_relative_direction,bin_count,bins_with_access_within_catchment,bins_with_access_within_100ft,bins_with_access_within_250ft,total_access_count_within_catchment,total_access_count_within_100ft,total_access_count_within_250ft,nearest_access_distance_ft
signal_000007,high_priority_0_1000ft,downstream_of_reference_signal,19,0,1,1,0,1,1,96.53123106900043
signal_000007,high_priority_0_1000ft,upstream_of_reference_signal,19,0,0,0,0,0,0,
signal_000007,sensitivity_1000_2500ft,downstream_of_reference_signal,30,0,0,0,0,0,0,
signal_000007,sensitivity_1000_2500ft,upstream_of_reference_signal,30,0,0,0,0,0,0,
signal_000008,high_priority_0_1000ft,downstream_of_reference_signal,38,0,1,1,0,1,1,6.707138600900306
signal_000008,high_priority_0_1000ft,upstream_of_reference_signal,38,0,0,0,0,0,0,
signal_000008,sensitivity_1000_2500ft,downstream_of_reference_signal,56,0,0,0,0,0,0,
signal_000008,sensitivity_1000_2500ft,upstream_of_reference_signal,56,0,0,0,0,0,0,
signal_000011,high_priority_0_1000ft,downstream_of_reference_signal,38,0,1,1,0,1,1,45.88528049485031
signal_000011,high_priority_0_1000ft,upstream_of_reference_signal,38,0,0,0,0,0,0,
signal_000011,sensitivity_1000_2500ft,downstream_of_reference_signal,40,0,0,0,0,0,0,
signal_000011,sensitivity_1000_2500ft,upstream_of_reference_signal,40,0,1,2,0,1,2,55.71075174501979
signal_000012,high_priority_0_1000ft,downstream_of_reference_signal,19,0,1,1,0,1,5,49.9998910867059
signal_000012,high_priority_0_1000ft,upstream_of_reference_signal,19,0,0,0,0,0,0,
signal_000012,sensitivity_1000_2500ft,downstream_of_reference_signal,30,0,0,0,0,0,0,
signal_000012,sensitivity_1000_2500ft,upstream_of_reference_signal,30,0,0,0,0,0,0,
signal_000013,high_priority_0_1000ft,downstream_of_reference_signal,19,0,1,1,0,2,3,71.50387778787142
signal_000013,high_priority_0_1000ft,upstream_of_reference_signal,19,0,0,0,0,0,0,
signal_000013,sensitivity_1000_2500ft,downstream_of_reference_signal,30,0,0,0,0,0,0,
signal_000013,sensitivity_1000_2500ft,upstream_of_reference_signal,30,0,0,0,0,0,0,
signal_000014,high_priority_0_1000ft,downstream_of_reference_signal,76,0,0,0,0,0,0,
signal_000014,high_priority_0_1000ft,upstream_of_reference_signal,76,0,0,0,0,0,0,
signal_000014,sensitivity_1000_2500ft,downstream_of_reference_signal,120,0,0,0,0,0,0,
signal_000014,sensitivity_1000_2500ft,upstream_of_reference_signal,120,0,0,0,0,0,0,
signal_000018,high_priority_0_1000ft,downstream_of_reference_signal,57,0,0,0,0,0,0,
signal_000018,high_priority_0_1000ft,upstream_of_reference_signal,57,0,0,0,0,0,0,
signal_000018,sensitivity_1000_2500ft,downstream_of_reference_signal,90,0,0,0,0,0,0,
signal_000018,sensitivity_1000_2500ft,upstream_of_reference_signal,90,0,0,0,0,0,0,
signal_000023,high_priority_0_1000ft,downstream_of_reference_signal,30,0,0,0,0,0,0,
signal_000023,high_priority_0_1000ft,upstream_of_reference_signal,30,4,5,6,4,5,6,0.0
signal_000023,sensitivity_1000_2500ft,downstream_of_reference_signal,7,0,0,0,0,0,0,
