check_name,passed,observed,expected
crash_direction_fields_read_or_used,True,none,none
source_joins_modified,True,read_only_existing_access_join_outputs,no
final_context_tables_overwritten,True,no_writes_to_analysis_current_directional_bin_context_table,no
full_vs_riro_inference_labeled,True,direct=not_supported;combination=not_supported,direct|inferred|not_supported
unknown_and_not_inferable_preserved,True,unknown|not_inferable,preserved
candidate_access_type_mapping_written,True,False,only_if_feasible
output_written_source_schema,True,work\output\roadway_graph\review\current\access_type_inventory\access_type_source_schema.csv,exists
output_written_candidate_fields,True,work\output\roadway_graph\review\current\access_type_inventory\access_type_candidate_fields.csv,exists
output_written_value_counts,True,work\output\roadway_graph\review\current\access_type_inventory\access_type_value_counts.csv,exists
output_written_missingness,True,work\output\roadway_graph\review\current\access_type_inventory\access_type_missingness_summary.csv,exists
output_written_feasibility,True,work\output\roadway_graph\review\current\access_type_inventory\access_type_inference_feasibility.csv,exists
output_written_coverage,True,work\output\roadway_graph\review\current\access_type_inventory\matched_access_type_coverage.csv,exists
output_written_join_preview,True,work\output\roadway_graph\review\current\access_type_inventory\access_type_join_preview.csv,exists
