field_order,field_name,dtype,source_role,row_count,non_null_count,missing_count,missing_pct,unique_non_null_count,top_values
1,id,str,source_metadata_or_locator,70595,70595,0,0.0,70595,5e95c6c2-8843-419e-88e3-aee7b9129138:1|06c8322e-17d9-459b-bef4-dea0127764ed:1|c3bd6b8a-e403-4e7e-89ae-a0cbf1e04f8c:1|3ccac269-f697-4447-ad19-0a17afbf9b5d:1|8e545a47-f0c0-4f33-831e-a55e53b4a183:1|3a11f132-54b9-4c5a-9f74-9f3318e8a699:1|1106215f-c9ea-4084-8d95-3413d0baf856:1|7f097d6e-0d40-4c7d-85f3-61e3a861c7f0:1|4002e6f2-2a35-400e-bcec-af14fb005997:1|a414d09d-8f6d-4fd8-a8e9-5c7c8931fc39:1
2,UNKNOWN,object,source_metadata_or_locator,70595,0,70595,1.0,0,
3,_editId,str,source_metadata_or_locator,70595,70595,0,0.0,70595,088e4188-1c0c-4367-9b71-070aa7c010ae:1|7f34ff8b-d183-4d54-8c18-7c362907f93b:1|4a29cb73-7523-41c0-983e-39c18564e2ba:1|426748ff-2340-4760-a060-9ea847fc21d8:1|d5d2aad1-02d3-4b11-95fa-866ffc591a17:1|24f03239-3d90-4396-ad1b-2b51eb9d5ca9:1|ddab6dc2-525e-4368-94fa-94fde54e8da3:1|4f599505-f215-45ac-bfe6-16f4e5b9738e:1|c1c92727-0116-4099-b771-d4b6e2805279:1|a39b531f-f09b-41f4-9d87-c2ceb2322f8e:1
4,_layerId,str,source_metadata_or_locator,70595,70595,0,0.0,1,07a673a7-da75-46d4-976b-e1bd1eea35b8:70595
5,INDUSTRIAL,object,candidate_access_type_field,70595,0,70595,1.0,0,
6,_createdBy,str,source_metadata_or_locator,70595,70595,0,0.0,1,4baecead-ca71-40f1-8783-7d1ea869faba:70595
7,_createdOn,datetime64[ms],source_metadata_or_locator,70595,70595,0,0.0,70101,2020-07-19 18:20:06:2|2020-07-19 18:30:17:2|2020-07-19 18:30:37:2|2020-07-19 18:30:49:2|2020-07-19 18:35:32:2|2020-07-19 18:35:40:2|2020-07-19 18:35:44:2|2020-07-19 19:02:06:2|2020-07-19 19:02:12:2|2020-07-19 19:02:18:2
8,_featureId,str,source_metadata_or_locator,70595,70595,0,0.0,70595,5e95c6c2-8843-419e-88e3-aee7b9129138:1|06c8322e-17d9-459b-bef4-dea0127764ed:1|c3bd6b8a-e403-4e7e-89ae-a0cbf1e04f8c:1|3ccac269-f697-4447-ad19-0a17afbf9b5d:1|8e545a47-f0c0-4f33-831e-a55e53b4a183:1|3a11f132-54b9-4c5a-9f74-9f3318e8a699:1|1106215f-c9ea-4084-8d95-3413d0baf856:1|7f097d6e-0d40-4c7d-85f3-61e3a861c7f0:1|4002e6f2-2a35-400e-bcec-af14fb005997:1|a414d09d-8f6d-4fd8-a8e9-5c7c8931fc39:1
9,RESIDENTIAL,object,candidate_access_type_field,70595,0,70595,1.0,0,
10,_modifiedBy,object,source_metadata_or_locator,70595,0,70595,1.0,0,
11,_modifiedOn,object,source_metadata_or_locator,70595,0,70595,1.0,0,
12,CROSS_STREET,object,candidate_access_type_field,70595,0,70595,1.0,0,
13,_geometryType,str,source_metadata_or_locator,70595,70595,0,0.0,1,LrsPoint:70595
14,ACCESS_CONTROL,object,candidate_access_type_field,70595,0,70595,1.0,0,
15,ACCESS_DIRECTION,object,candidate_access_type_field,70595,0,70595,1.0,0,
16,COMMERCIAL_RETAIL,object,candidate_access_type_field,70595,0,70595,1.0,0,
17,NUMBER_OF_APPROACHES,str,candidate_access_type_field,70595,0,70595,1.0,0,
18,GOV_SCHOOL_INSTITUTIONAL,object,candidate_access_type_field,70595,0,70595,1.0,0,
19,TURN_LANES_PRIMARY_ROUTE,object,candidate_access_type_field,70595,0,70595,1.0,0,
20,_rte_nm,str,source_metadata_or_locator,70595,70595,0,0.0,7523,R-VA   US00011NB:1160|R-VA   US00058WB:1150|R-VA   SR00040EB:985|R-VA   US00340NB:966|R-VA   US00501SB:935|R-VA   US00001NB:886|R-VA   US00033WB:873|R-VA   US00522SB:837|R-VA   US00460EB:732|R-VA   US00015SB:728
21,_m,float64,source_metadata_or_locator,70595,70595,0,0.0,70251,-0.000400000004447065:146|13.8396000000066:26|0.0996000000013737:10|0.109599999996135:8|0.00659999999334104:6|0.119600000005448:6|0.149600000004284:6|0.189599999997881:6|0.169599999993807:6|0.00359999999636784:5
22,_x,float64,source_metadata_or_locator,70595,70595,0,0.0,70529,-76.192876976:21|-79.96864987:6|-76.192749159:5|-77.430130142:2|-76.736443279:2|-77.2139051:2|-75.538949258:2|-75.53267:2|-79.933267885:2|-77.763821071:2
23,_y,float64,source_metadata_or_locator,70595,70595,0,0.0,70531,36.550526741:21|37.327297881:6|36.550585109:5|36.704873033:2|37.948552898:2|37.966074422:2|37.286329949:2|38.117505055:2|38.972707261:2|37.538196254:2
24,geometryType,str,source_metadata_or_locator,70595,70595,0,0.0,1,LrsPoint:70595
25,geometry,geometry,geometry,70595,70595,0,0.0,1,Point:70595
26,Stage1_SourceGDB,str,source_metadata_or_locator,70595,70595,0,0.0,1,accesspoints.gdb:70595
27,Stage1_SourceLayer,str,source_metadata_or_locator,70595,70595,0,0.0,1,layer_lrspoint:70595
