metric,value,count
active_speed_context_policy,speed_v5_new_source_supplement,
baseline_speed_context_policy,speed_v4_identity_enriched,
active_speed_source_preference,Speed_Limit_RNS route_measure_evidence_preferred,
v4_stable_speed_bins,,84857
v5_stable_speed_bins,,105835
newly_recovered_stable_bins_from_v4_missing_review,,20978
v5_missing_review_bins_remaining,,4875
v4_stable_bins_confirmed_by_v5,,29067
v4_stable_bins_conflicting_with_v5,,2809
crash_rows_inheriting_stable_v5_speed,,12750
reference_signals_with_stable_v5_speed,,940
v5_conflicts_block_promotion,False,
speed_values_imputed,False,
downstream_outputs_refreshed,False,
crash_direction_fields_read_or_used,False,
bins_by_distance_window,high_priority_0_1000ft,66074
v4_stable_bins_by_distance_window,high_priority_0_1000ft,47412
v5_stable_bins_by_distance_window,high_priority_0_1000ft,62215
v5_recovered_bins_by_distance_window,high_priority_0_1000ft,14803
v5_missing_review_bins_by_distance_window,high_priority_0_1000ft,3859
bins_by_distance_window,sensitivity_1000_2500ft,44636
v4_stable_bins_by_distance_window,sensitivity_1000_2500ft,37445
v5_stable_bins_by_distance_window,sensitivity_1000_2500ft,43620
v5_recovered_bins_by_distance_window,sensitivity_1000_2500ft,6175
v5_missing_review_bins_by_distance_window,sensitivity_1000_2500ft,1016
