metric,value,notes
catchment_index_rows,208340,Rows in directional_bin_catchment_index.csv.
catchment_index_usable_rows,200061,Rows with catchment_status = usable in the catchment index.
usable_polygon_rows_loaded,200061,Usable polygon rows loaded into the assignable surface.
unstable_or_blocked_polygon_rows_used,0,Expected 0; unstable_review and blocked catchments are excluded.
crash_direction_fields_read_or_used,False,Expected False; only DOCUMENT_NBR and geometry are read from crashes.
scaffold_or_catchment_construction_changed,False,Expected False; this module only reads existing scaffold/catchment outputs.
total_crashes_considered,379272,Normalized crash rows with usable point geometry.
uniquely_assigned_crashes,17634,Crash points contained by exactly one usable directional catchment.
ambiguous_crashes,1055,Crash points contained by more than one usable directional catchment.
unresolved_crashes,360583,Crash points contained by no usable directional catchment.
assigned_downstream_crashes,8791,Unique assignments inheriting downstream_of_reference_signal from the catchment.
assigned_upstream_crashes,8843,Unique assignments inheriting upstream_of_reference_signal from the catchment.
assigned_divided_physical_crashes,4967,Unique assignments to divided_physical_carriageway catchments.
assigned_undivided_pseudo_direction_crashes,12667,Unique assignments to undivided_centerline_pseudo_direction catchments.
catchment_crs_handling,catchment_crs_matches_authoritative_metadata,
catchment_authoritative_crs,EPSG:3968,
