metric,value,notes
crash_direction_fields_read_or_used,False,This QA reads assignment IDs and catchment/scaffold fields only.
scaffold_catchment_or_assignment_logic_changed,False,Read-only QA module.
total_unique_assignments,17634,Rows in unique assignment output.
assigned_downstream,8791,
assigned_upstream,8843,
assigned_divided_physical,4967,
assigned_undivided_pseudo_direction,12667,
ambiguous_crashes,1055,
unresolved_crashes,360583,
assigned_divided_plus_undivided_equals_unique,True,
assigned_downstream_plus_upstream_equals_unique,True,
assigned_rows_with_nonusable_catchment_status,0,Expected 0.
assigned_rows_not_inherited_from_catchment,0,Expected 0.
assigned_rows_with_unexpected_assignment_status,0,Expected 0.
duplicate_unique_assignment_crash_ids,0,Expected 0.
ambiguous_crashes_in_unique_assignments,0,Expected 0.
unresolved_crashes_in_unique_assignments,0,Expected 0.
