reference_signal_id,crash_count,summary_type,bin_index_from_reference_signal,downstream,upstream,total_assigned,downstream_share,upstream_share,absolute_imbalance,imbalance_flag
signal_001481,223.0,by_reference_signal,,,,,,,,
signal_002327,203.0,by_reference_signal,,,,,,,,
signal_003820,149.0,by_reference_signal,,,,,,,,
signal_001414,111.0,by_reference_signal,,,,,,,,
signal_002295,107.0,by_reference_signal,,,,,,,,
signal_003825,100.0,by_reference_signal,,,,,,,,
signal_001483,97.0,by_reference_signal,,,,,,,,
signal_001495,88.0,by_reference_signal,,,,,,,,
signal_000384,84.0,by_reference_signal,,,,,,,,
signal_003816,84.0,by_reference_signal,,,,,,,,
signal_003835,82.0,by_reference_signal,,,,,,,,
signal_003894,82.0,by_reference_signal,,,,,,,,
signal_000378,81.0,by_reference_signal,,,,,,,,
signal_000031,80.0,by_reference_signal,,,,,,,,
signal_001960,76.0,by_reference_signal,,,,,,,,
signal_001412,76.0,by_reference_signal,,,,,,,,
signal_002189,74.0,by_reference_signal,,,,,,,,
signal_003136,74.0,by_reference_signal,,,,,,,,
signal_002618,63.0,by_reference_signal,,,,,,,,
signal_001381,62.0,by_reference_signal,,,,,,,,
signal_003832,61.0,by_reference_signal,,,,,,,,
signal_001466,60.0,by_reference_signal,,,,,,,,
signal_001428,58.0,by_reference_signal,,,,,,,,
signal_002595,57.0,by_reference_signal,,,,,,,,
signal_000023,57.0,by_reference_signal,,,,,,,,
signal_001619,56.0,by_reference_signal,,,,,,,,
signal_001382,54.0,by_reference_signal,,,,,,,,
signal_001961,53.0,by_reference_signal,,,,,,,,
signal_003282,50.0,by_reference_signal,,,,,,,,
signal_001486,49.0,by_reference_signal,,,,,,,,
signal_001658,48.0,by_reference_signal,,,,,,,,
signal_001467,48.0,by_reference_signal,,,,,,,,
signal_001874,48.0,by_reference_signal,,,,,,,,
signal_000380,44.0,by_reference_signal,,,,,,,,
signal_003833,44.0,by_reference_signal,,,,,,,,
signal_002696,43.0,by_reference_signal,,,,,,,,
signal_002499,41.0,by_reference_signal,,,,,,,,
signal_001254,39.0,by_reference_signal,,,,,,,,
signal_000674,39.0,by_reference_signal,,,,,,,,
signal_003419,38.0,by_reference_signal,,,,,,,,
signal_000651,37.0,by_reference_signal,,,,,,,,
signal_000037,37.0,by_reference_signal,,,,,,,,
signal_003801,36.0,by_reference_signal,,,,,,,,
signal_001387,35.0,by_reference_signal,,,,,,,,
signal_003803,35.0,by_reference_signal,,,,,,,,
signal_003480,35.0,by_reference_signal,,,,,,,,
signal_003384,34.0,by_reference_signal,,,,,,,,
signal_003502,34.0,by_reference_signal,,,,,,,,
signal_003405,33.0,by_reference_signal,,,,,,,,
signal_003359,33.0,by_reference_signal,,,,,,,,
signal_001446,33.0,by_reference_signal,,,,,,,,
signal_003128,32.0,by_reference_signal,,,,,,,,
signal_002015,32.0,by_reference_signal,,,,,,,,
signal_000669,32.0,by_reference_signal,,,,,,,,
signal_003710,30.0,by_reference_signal,,,,,,,,
signal_003073,29.0,by_reference_signal,,,,,,,,
signal_000475,28.0,by_reference_signal,,,,,,,,
signal_002625,28.0,by_reference_signal,,,,,,,,
signal_001393,27.0,by_reference_signal,,,,,,,,
signal_000342,27.0,by_reference_signal,,,,,,,,
signal_003876,27.0,by_reference_signal,,,,,,,,
signal_002167,26.0,by_reference_signal,,,,,,,,
signal_001451,26.0,by_reference_signal,,,,,,,,
signal_001402,26.0,by_reference_signal,,,,,,,,
signal_002980,26.0,by_reference_signal,,,,,,,,
signal_000464,25.0,by_reference_signal,,,,,,,,
signal_003178,25.0,by_reference_signal,,,,,,,,
signal_000102,24.0,by_reference_signal,,,,,,,,
signal_002194,23.0,by_reference_signal,,,,,,,,
signal_003864,22.0,by_reference_signal,,,,,,,,
signal_002504,22.0,by_reference_signal,,,,,,,,
signal_003831,21.0,by_reference_signal,,,,,,,,
signal_001430,21.0,by_reference_signal,,,,,,,,
signal_000469,21.0,by_reference_signal,,,,,,,,
signal_001418,21.0,by_reference_signal,,,,,,,,
signal_001396,20.0,by_reference_signal,,,,,,,,
signal_000272,20.0,by_reference_signal,,,,,,,,
signal_003848,20.0,by_reference_signal,,,,,,,,
signal_003403,19.0,by_reference_signal,,,,,,,,
signal_001491,19.0,by_reference_signal,,,,,,,,
signal_003510,18.0,by_reference_signal,,,,,,,,
signal_003593,18.0,by_reference_signal,,,,,,,,
signal_003918,18.0,by_reference_signal,,,,,,,,
signal_003802,18.0,by_reference_signal,,,,,,,,
signal_001589,18.0,by_reference_signal,,,,,,,,
signal_001228,17.0,by_reference_signal,,,,,,,,
signal_002506,17.0,by_reference_signal,,,,,,,,
signal_003429,16.0,by_reference_signal,,,,,,,,
signal_001395,16.0,by_reference_signal,,,,,,,,
signal_003456,16.0,by_reference_signal,,,,,,,,
signal_001482,16.0,by_reference_signal,,,,,,,,
signal_000381,16.0,by_reference_signal,,,,,,,,
signal_003823,15.0,by_reference_signal,,,,,,,,
signal_001433,15.0,by_reference_signal,,,,,,,,
signal_002019,15.0,by_reference_signal,,,,,,,,
signal_003501,14.0,by_reference_signal,,,,,,,,
signal_002694,14.0,by_reference_signal,,,,,,,,
signal_003581,14.0,by_reference_signal,,,,,,,,
signal_003713,14.0,by_reference_signal,,,,,,,,
signal_002664,13.0,by_reference_signal,,,,,,,,
signal_003529,13.0,by_reference_signal,,,,,,,,
signal_001927,13.0,by_reference_signal,,,,,,,,
signal_003588,12.0,by_reference_signal,,,,,,,,
