reference_signal_id,crash_count,summary_type,bin_index_from_reference_signal,side_relative_to_reference_to_anchor,downstream,upstream,total_assigned,downstream_share,upstream_share,absolute_imbalance,imbalance_flag
signal_001814,188.0,by_reference_signal,,,,,,,,,
signal_001625,149.0,by_reference_signal,,,,,,,,,
signal_002380,121.0,by_reference_signal,,,,,,,,,
signal_001840,113.0,by_reference_signal,,,,,,,,,
signal_000308,113.0,by_reference_signal,,,,,,,,,
signal_002663,109.0,by_reference_signal,,,,,,,,,
signal_000056,106.0,by_reference_signal,,,,,,,,,
signal_003853,101.0,by_reference_signal,,,,,,,,,
signal_001216,100.0,by_reference_signal,,,,,,,,,
signal_000148,95.0,by_reference_signal,,,,,,,,,
signal_001872,93.0,by_reference_signal,,,,,,,,,
signal_000409,90.0,by_reference_signal,,,,,,,,,
signal_002847,89.0,by_reference_signal,,,,,,,,,
signal_002302,88.0,by_reference_signal,,,,,,,,,
signal_002833,86.0,by_reference_signal,,,,,,,,,
signal_001626,86.0,by_reference_signal,,,,,,,,,
signal_001223,84.0,by_reference_signal,,,,,,,,,
signal_000137,80.0,by_reference_signal,,,,,,,,,
signal_001348,79.0,by_reference_signal,,,,,,,,,
signal_002551,76.0,by_reference_signal,,,,,,,,,
signal_002351,76.0,by_reference_signal,,,,,,,,,
signal_001449,75.0,by_reference_signal,,,,,,,,,
signal_001940,75.0,by_reference_signal,,,,,,,,,
signal_003745,75.0,by_reference_signal,,,,,,,,,
signal_001775,73.0,by_reference_signal,,,,,,,,,
signal_001309,73.0,by_reference_signal,,,,,,,,,
signal_002453,72.0,by_reference_signal,,,,,,,,,
signal_001370,70.0,by_reference_signal,,,,,,,,,
signal_001662,69.0,by_reference_signal,,,,,,,,,
signal_001609,69.0,by_reference_signal,,,,,,,,,
signal_003787,66.0,by_reference_signal,,,,,,,,,
signal_001939,66.0,by_reference_signal,,,,,,,,,
signal_001635,66.0,by_reference_signal,,,,,,,,,
signal_001358,65.0,by_reference_signal,,,,,,,,,
signal_000086,65.0,by_reference_signal,,,,,,,,,
signal_001958,65.0,by_reference_signal,,,,,,,,,
signal_002171,65.0,by_reference_signal,,,,,,,,,
signal_001624,63.0,by_reference_signal,,,,,,,,,
