check_name,passed,observed,expected
existing_normalized_artifacts_overwritten,True,unchanged,unchanged
current_speed_v4_outputs_overwritten,True,read_only,no
graph_context_rate_model_outputs_modified,True,module writes only new_speed_route_source_inventory review outputs,no
crash_direction_fields_read_or_used,True,none,none
source_coverage_estimates_diagnostic_only,True,diagnostic_only_no_join_output,yes
recommendation_distinguishes_replacement_supplement_identity_bridge,True,replacement_vs_supplement column written,yes
output_written_summary,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\new_speed_route_source_inventory_summary.csv,exists
output_written_schema,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\new_speed_route_source_schema.csv,exists
output_written_geometry,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\new_speed_route_source_geometry_qa.csv,exists
output_written_roles,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\new_speed_route_source_field_role_candidates.csv,exists
output_written_nonnull,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\new_speed_route_source_non_null_profile.csv,exists
output_written_route_overlap,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\new_speed_route_source_route_identity_overlap.csv,exists
output_written_speed_fields,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\new_speed_route_source_speed_field_diagnostic.csv,exists
output_written_recovery,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\speed_v4_missing_review_recovery_estimate.csv,exists
output_written_comparison,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\speed_source_comparison_current_vs_new.csv,exists
output_written_recommendation,True,work\output\roadway_graph\review\current\new_speed_route_source_inventory\new_speed_route_source_recommendation.csv,exists
