check_name,passed,observed,expected
normalized_parquets_overwritten,True,unchanged,unchanged
graph_context_rate_model_outputs_modified,True,module writes only normalized_source_attribute_audit review outputs,no
crash_direction_fields_used,True,crash direction-like fields excluded from value profiling,no
source_vs_parquet_comparisons_documented,True,schema and non-null comparison CSVs written,yes
restaging_recommendations_executed,True,recommendations only; no restaging run,no
output_written_summary,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\normalized_source_attribute_audit_summary.csv,exists
output_written_schema,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\normalized_source_schema_comparison.csv,exists
output_written_nonnull,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\normalized_source_non_null_comparison.csv,exists
output_written_flags,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\normalized_source_field_loss_flags.csv,exists
output_written_access,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\access_source_attribute_preservation_audit.csv,exists
output_written_speed,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\speed_source_attribute_preservation_audit.csv,exists
output_written_aadt,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\aadt_source_attribute_preservation_audit.csv,exists
output_written_roads,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\roads_source_attribute_preservation_audit.csv,exists
output_written_crashes,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\crash_source_attribute_preservation_audit.csv,exists
output_written_recommendations,True,work\output\roadway_graph\review\current\normalized_source_attribute_audit\normalized_source_restaging_recommendations.csv,exists
