dataset,field_name,source_row_count,parquet_row_count,source_non_null_count,parquet_non_null_count,source_non_null_share,parquet_non_null_share,non_null_share_loss,source_unique_count,parquet_unique_count,null_loss_count,null_loss_ratio,unique_count_ratio,value_profile_status,source_top_values,parquet_top_values,focus_field,useful_candidate_field
roads,CHANGE_STA,141152,140654,141152,140654,1.0,1.0,0.0,1,1,498,0.003528,1.0,profiled,CL:141152,CL:140654,False,False
roads,CHANGE_S_1,141152,140654,141152,140654,1.0,1.0,0.0,23,12,498,0.003528,0.521739,profiled,2023-01-07:128509|2023-01-11:10940|2023-01-09:713|2022-01-19:245|2023-01-17:211,2023-01-07:128412|2023-01-11:10886|2023-01-09:713|2023-01-17:211|2023-01-13:135,False,False
roads,CURRENCY_D,141152,140654,141152,140654,1.0,1.0,0.0,2140,2138,498,0.003528,0.999065,profiled,2012-04-01:82850|2012-03-31:2370|2012-09-03:1352|2012-09-04:1047|2012-08-28:883,2012-04-01:82552|2012-03-31:2368|2012-09-03:1350|2012-09-04:1047|2012-08-28:882,False,False
roads,EVENT_COMP,141152,140654,141152,140654,1.0,1.0,0.0,12,12,498,0.003528,1.0,profiled,1:130639|2:8867|3:1416|4:134|5:50,1:130298|2:8717|3:1409|4:134|5:50,True,True
roads,EVENT_LOCA,141152,140654,141152,140654,1.0,1.0,0.0,24056,23995,498,0.003528,0.997464,profiled,1:110825|16970679:12|20093397:9|5925433:7|17684529:7,1:110446|16970679:12|20093397:9|5925433:7|17684529:7,True,True
roads,EVENT_SOUR,141152,140654,141152,140654,1.0,1.0,0.0,130599,130258,498,0.003528,0.997389,profiled,33875622:12|34450917:9|572073:9|21873056:7|34034836:7,33875622:12|34450917:9|572073:9|21873056:7|34034836:7,True,True
roads,EVENT_SO_1,141152,140654,141152,140654,1.0,1.0,0.0,1,1,498,0.003528,1.0,profiled,RIMTW:141152,RIMTW:140654,False,True
roads,EVENT_SO_2,141152,140654,141152,140654,1.0,1.0,0.0,1,1,498,0.003528,1.0,profiled,RIMS Travelway:141152,RIMS Travelway:140654,False,True
roads,FROM_MEASURE,141152,140654,138742,138740,0.982926,0.986392,0.0,10144,10144,2,1.4e-05,1.0,profiled,0.0:70808|0.05:774|0.06:770|0.08:736|0.09:712,0.0:70808|0.05:774|0.06:770|0.08:736|0.09:712,True,True
roads,LANE_REVER,141152,140654,141152,140654,1.0,1.0,0.0,4,4,498,0.003528,1.0,profiled,0:141139|2:7|1:5|3:1,0:140641|2:7|1:5|3:1,True,True
roads,LANE_THRU1,141152,140654,141152,140654,1.0,1.0,0.0,7,7,498,0.003528,1.0,profiled,1.0:100672|0.0:32640|2.0:6892|3.0:734|4.0:178,1.0:100464|0.0:32367|2.0:6877|3.0:733|4.0:177,True,True
roads,LANE_THRU_,141152,140654,141152,140654,1.0,1.0,0.0,8,8,498,0.003528,1.0,profiled,1.0:100896|0.0:32160|2.0:7100|3.0:766|4.0:182,1.0:100688|0.0:31890|2.0:7082|3.0:765|4.0:181,True,True
roads,LANE_THR_1,141152,140654,141152,140654,1.0,1.0,0.0,7,7,498,0.003528,1.0,profiled,1.0:116467|0.0:12009|2.0:11107|3.0:1274|4.0:250,1.0:116252|0.0:11749|2.0:11086|3.0:1273|4.0:249,False,True
roads,LANE_THR_2,141152,140654,141152,140654,1.0,1.0,0.0,7,7,498,0.003528,1.0,profiled,1.0:99054|0.0:35700|2.0:5742|3.0:538|4.0:97,1.0:99039|0.0:35217|2.0:5742|3.0:538|4.0:97,False,True
roads,LANE_THR_3,141152,140654,141152,140654,1.0,1.0,0.0,7,7,498,0.003528,1.0,profiled,1.0:98943|0.0:35898|2.0:5675|3.0:530|4.0:90,1.0:98928|0.0:35415|2.0:5675|3.0:530|4.0:90,False,True
roads,LANE_THR_4,141152,140654,141152,140654,1.0,1.0,0.0,7,7,498,0.003528,1.0,profiled,1.0:114209|0.0:16358|2.0:9420|3.0:973|4.0:162,1.0:114186|0.0:15883|2.0:9420|3.0:973|4.0:162,False,True
roads,LOCATION_1,141152,140654,141152,140654,1.0,1.0,0.0,2,2,498,0.003528,1.0,profiled,Valid:140989|Unmappable:163,Valid:140640|Unmappable:14,False,False
roads,LOCATION_C,141152,140654,141152,140654,1.0,1.0,0.0,2,2,498,0.003528,1.0,profiled,VLD:140989|UM:163,VLD:140640|UM:14,False,False
