dataset,field_name,source_layers,present_in_source,present_in_parquet,source_dtype,parquet_dtype,dtype_changed,focus_field,useful_candidate_field
roads,CHANGE_STA,Travelway,True,True,str,str,False,False,False
roads,CHANGE_S_1,Travelway,True,True,datetime64[ms],datetime64[ms],False,False,False
roads,CURRENCY_D,Travelway,True,True,datetime64[ms],datetime64[ms],False,False,False
roads,EVENT_COMP,Travelway,True,True,int32,int32,False,True,True
roads,EVENT_LOCA,Travelway,True,True,int32,int32,False,True,True
roads,EVENT_SOUR,Travelway,True,True,int32,int32,False,True,True
roads,EVENT_SO_1,Travelway,True,True,str,str,False,False,True
roads,EVENT_SO_2,Travelway,True,True,str,str,False,False,True
roads,FROM_MEASURE,Travelway,True,True,float64,float64,False,True,True
roads,LANE_REVER,Travelway,True,True,int32,int32,False,True,True
roads,LANE_THRU1,Travelway,True,True,float64,float64,False,True,True
roads,LANE_THRU_,Travelway,True,True,float64,float64,False,True,True
roads,LANE_THR_1,Travelway,True,True,float64,float64,False,False,True
roads,LANE_THR_2,Travelway,True,True,float64,float64,False,False,True
roads,LANE_THR_3,Travelway,True,True,float64,float64,False,False,True
roads,LANE_THR_4,Travelway,True,True,float64,float64,False,False,True
roads,LOCATION_1,Travelway,True,True,str,str,False,False,False
roads,LOCATION_C,Travelway,True,True,str,str,False,False,False
roads,LOCATION_V,Travelway,True,True,str,str,False,False,False
roads,LOC_COMP_1,Travelway,True,True,str,str,False,True,True
roads,LOC_COMP_D,Travelway,True,True,str,str,False,True,True
roads,LRM_CURREN,Travelway,True,True,datetime64[ms],datetime64[ms],False,False,False
roads,MEDIAN_COV,Travelway,True,True,float64,float64,False,True,True
roads,MEDIAN_IND,Travelway,True,True,str,str,False,True,True
roads,MEDIAN_OPP,Travelway,True,True,str,str,False,True,True
roads,MEDIAN_WID,Travelway,True,True,float64,float64,False,True,True
roads,MEDIAN_W_1,Travelway,True,True,float64,float64,False,False,True
roads,PAVED_MDN1,Travelway,True,True,float64,float64,False,False,False
roads,PAVED_MDN_,Travelway,True,True,float64,float64,False,False,False
roads,PAVED_SHLD,Travelway,True,True,float64,float64,False,False,False
