metric,value,notes
input_usable_directional_bins,208340,Rows read from prototype usable directional bins.
catchments_created,208340,
usable_catchments,200061,
unstable_review_catchments,7281,
blocked_catchments,998,
downstream_catchments,104268,
upstream_catchments,104072,
divided_physical_catchments,14604,
undivided_pseudo_direction_catchments,193736,
overlap_qa_fail_rows,0,
crash_data_read,False,
crash_direction_fields_used,False,
excluded_directional_bins_used,False,
catchment_instability_reason_near_reference_or_far_anchor,8036,
catchment_instability_reason_local_vector_too_short,998,
catchment_instability_reason_sharp_bearing_change_or_kink,125,
catchment_instability_reason_unexpected_side_catchment_overlap,2,
