metric,value,notes
true_reference_signals_total,1214,TRUE rows in signal_step5_eligibility.csv.
true_reference_signals_represented,1210,
reference_signal_centered_directional_segment_candidates,7800,
downstream_of_reference_records,3900,
upstream_of_reference_records,3900,
far_anchor_true_signal_records,939,
far_anchor_non_true_signal_records,2251,
far_anchor_non_signal_intersection_records,3806,
far_anchor_endpoint_or_boundary_records,804,
divided_physical_carriageway_records,810,
undivided_centerline_pseudo_direction_records,4024,
directional_records_with_paired_opposite,7800,
directional_records_without_paired_opposite,0,
directional_bins_50ft_generated,304552,
directionally_blocked_records,2972,
crash_data_read,False,
crash_assignment_outputs_read,False,
crash_direction_fields_used,False,
blocker_reason_divided_physical_direction_not_accepted_or_unpaired,2878,
blocker_reason_divided_physical_direction_not_accepted_or_unpaired|low_confidence_divided_recovery_review_only,88,
blocker_reason_unknown_roadway_role,6,
