reference_directional_segment_id,scope,travel_direction,signal_relative_direction,bin_count,starts_at_one,contiguous_index_from_reference,distance_ordered_from_reference,first_bin_start_zero,all_bin_ends_gt_starts,segment_length_ft,last_bin_end_ft_from_reference,length_difference_ft,travel_order_index_ok,qa_status
rds_oseg_rge_rc_0000000_sgn_signal_001787_rc_0000000_rn_122716_35_108115_32_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,23,TRUE,TRUE,TRUE,TRUE,TRUE,1132.438,1132.438,0.0,TRUE,pass
rds_oseg_rge_rc_0000000_sgn_signal_001787_rc_0000000_rn_122716_35_108115_32_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,23,TRUE,TRUE,TRUE,TRUE,TRUE,1132.438,1132.438,0.0,TRUE,pass
rds_oseg_rge_rc_0000000_sgn_signal_002938_rc_0000000_sgn_signal_001787_rc_0000000_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,10,TRUE,TRUE,TRUE,TRUE,TRUE,452.886,452.886,0.0,TRUE,pass
rds_oseg_rge_rc_0000000_sgn_signal_002938_rc_0000000_sgn_signal_001787_rc_0000000_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,10,TRUE,TRUE,TRUE,TRUE,TRUE,452.886,452.886,0.0,TRUE,pass
rds_oseg_rge_rc_0000082_sgn_signal_003746_rc_0000082_sgn_signal_003748_rc_0000082_signal_003748_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,13,TRUE,TRUE,TRUE,TRUE,TRUE,640.35,640.35,0.0,TRUE,pass
rds_oseg_rge_rc_0000082_sgn_signal_003746_rc_0000082_sgn_signal_003748_rc_0000082_signal_003748_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,13,TRUE,TRUE,TRUE,TRUE,TRUE,640.35,640.35,0.0,TRUE,pass
rds_oseg_rge_rc_0000082_sgn_signal_003748_rc_0000082_rn_275660_52_116497_66_signal_003748_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,12,TRUE,TRUE,TRUE,TRUE,TRUE,556.516,556.516,0.0,TRUE,pass
rds_oseg_rge_rc_0000082_sgn_signal_003748_rc_0000082_rn_275660_52_116497_66_signal_003748_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,12,TRUE,TRUE,TRUE,TRUE,TRUE,556.516,556.516,0.0,TRUE,pass
rds_oseg_rge_rc_0000292_rn_163741_51_164913_36_sgn_signal_003139_rc_0000292_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,55,TRUE,TRUE,TRUE,TRUE,TRUE,2729.185,2729.185,0.0,TRUE,pass
rds_oseg_rge_rc_0000292_rn_163741_51_164913_36_sgn_signal_003139_rc_0000292_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,55,TRUE,TRUE,TRUE,TRUE,TRUE,2729.185,2729.185,0.0,TRUE,pass
rds_oseg_rge_rc_0000399_rn_230483_59_145084_59_sgn_signal_000170_rc_0000399_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,8,TRUE,TRUE,TRUE,TRUE,TRUE,379.443,379.443,0.0,TRUE,pass
rds_oseg_rge_rc_0000399_rn_230483_59_145084_59_sgn_signal_000170_rc_0000399_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,8,TRUE,TRUE,TRUE,TRUE,TRUE,379.443,379.443,0.0,TRUE,pass
