check_name,passed,observed,expected
directional_segments_one_row_per_input,True,4828,4828
directional_bins_one_row_per_input,True,208340,208340
base_bins_one_row_per_input,True,159578,159578
no_duplicate_directional_bin_ids,True,0,0
crash_direction_fields_read_or_used,True,False,False
scaffold_catchment_assignment_access_speed_aadt_logic_changed,True,False,False
diagnostics_are_read_only_estimates,True,True,True
source_road_row_id_match_rate_reported,True,1.0,reported
propagated_values_preserve_existing_conflict_flags,True,"route_name_propagated_conflict_flag,route_common_propagated_conflict_flag,route_id_propagated_conflict_flag,event_source_propagated_conflict_flag",conflict flag fields present
aadt_speed_diagnostics_not_promoted_context_layers,True,True,True
