metric,value,count
main_0_2500ft_bins,,110710
stable_speed_bins,,84857
stable_single_speed_bins,,48075
stable_weighted_transition_bins,measure_overlap_weighted_route_transition,36782
missing_no_route_compatible_speed_bins,,8091
review_route_mismatch_bins,,17762
review_route_missing_bins,,0
review_directionality_mismatch_bins,,0
review_unresolved_speed_conflict_bins,,0
crashes_inheriting_stable_speed,,9671
reference_signals_with_stable_speed,,685
paired_pseudo_direction_groups,,64396
paired_pseudo_direction_inconsistent_groups,,0
nearest_any_stable_promotions,,0
crash_direction_fields_read_or_used,False,
speed_used_for_upstream_downstream,False,
bins_by_distance_window,high_priority_0_1000ft,66074
stable_speed_bins_by_distance_window,high_priority_0_1000ft,47412
missing_speed_bins_by_distance_window,high_priority_0_1000ft,6222
review_speed_bins_by_distance_window,high_priority_0_1000ft,12440
bins_by_distance_window,sensitivity_1000_2500ft,44636
stable_speed_bins_by_distance_window,sensitivity_1000_2500ft,37445
missing_speed_bins_by_distance_window,sensitivity_1000_2500ft,1869
review_speed_bins_by_distance_window,sensitivity_1000_2500ft,5322
