metric,value,count
main_0_2500ft_bins,,110710
v4_stable_speed_bins,,84857
v5_stable_speed_bins,,105835
newly_recovered_stable_bins_from_v4_missing_review,,20978
v4_stable_bins_confirmed_by_v5,,29067
v4_stable_bins_conflicting_with_v5,,2809
v4_stable_bins_without_stable_v5_candidate,,52981
v5_missing_review_bins_remaining,,4875
crash_rows_inheriting_stable_v5_speed,,12750
reference_signals_with_stable_v5_speed,,940
speed_v5_candidate_supplement_until_accepted,True,
crash_direction_fields_read_or_used,False,
direction_factor_applied,False,
bins_by_distance_window,high_priority_0_1000ft,66074
v4_stable_bins_by_distance_window,high_priority_0_1000ft,47412
v5_stable_bins_by_distance_window,high_priority_0_1000ft,62215
v5_recovered_bins_by_distance_window,high_priority_0_1000ft,14803
v5_missing_review_bins_by_distance_window,high_priority_0_1000ft,3859
bins_by_distance_window,sensitivity_1000_2500ft,44636
v4_stable_bins_by_distance_window,sensitivity_1000_2500ft,37445
v5_stable_bins_by_distance_window,sensitivity_1000_2500ft,43620
v5_recovered_bins_by_distance_window,sensitivity_1000_2500ft,6175
v5_missing_review_bins_by_distance_window,sensitivity_1000_2500ft,1016
