comparison_group,bin_count,v4_stable_count,v5_stable_count,unique_route_count,v4_refined_speed_context_status,v5_refined_speed_context_status
not_recovered,4875,0,0,131,,
v4_missing_review_recovered_by_rns,20978,0,20978,214,,
v4_stable_retained_confirmed_by_rns,29067,29067,29067,229,,
v4_stable_retained_conflict_preserved,2809,2809,2809,93,,
v4_stable_retained_no_rns_confirmation,52981,52981,52981,398,,
v4_status_to_v5_status,1643,0,0,64,missing_no_route_compatible_speed,review_conflicting_speed_values
v4_status_to_v5_status,84,0,0,3,missing_no_route_compatible_speed,review_no_measure_overlap
v4_status_to_v5_status,6364,0,6364,48,missing_no_route_compatible_speed,stable_single_speed
v4_status_to_v5_status,94,0,0,3,review_route_mismatch,missing_no_route_compatible_speed
v4_status_to_v5_status,2223,0,0,50,review_route_mismatch,review_conflicting_speed_values
v4_status_to_v5_status,810,0,0,12,review_route_mismatch,review_no_measure_overlap
v4_status_to_v5_status,21,0,0,3,review_route_mismatch,review_weak_measure_overlap
v4_status_to_v5_status,14614,0,14614,166,review_route_mismatch,stable_single_speed
v4_status_to_v5_status,48075,48075,48075,373,stable_single_speed,stable_single_speed
v4_status_to_v5_status,36782,36782,36782,286,stable_weighted_speed_transition,stable_weighted_speed_transition
