check_name,passed,observed,expected
crash_direction_fields_read_or_used,True,False,False
existing_speed_v4_outputs_overwritten,True,unchanged,unchanged
normalized_speed_artifact_overwritten,True,unchanged,unchanged
graph_context_rate_model_outputs_modified,True,module writes only speed_context_join_v5_new_source_supplement review outputs,no
route_measure_evidence_required_for_stable_v5_recovery,True,20978,all recovered rows have route and measure overlap
conflicts_with_v4_preserved_not_overwritten,True,2809,preserved
v5_labeled_candidate_supplement_until_accepted,True,True,True
output_written_summary,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\speed_context_v5_summary.csv,exists
output_written_directional,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\directional_bin_speed_context_v5.csv,exists
output_written_directional_0_1000,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\directional_bin_speed_context_v5_0_1000ft.csv,exists
output_written_directional_1000_2500,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\directional_bin_speed_context_v5_1000_2500ft.csv,exists
output_written_crash,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\directional_crash_speed_context_v5.csv,exists
output_written_reference_summary,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\reference_signal_speed_context_summary_v5.csv,exists
output_written_recovered,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\speed_v5_recovered_from_v4_missing_review.csv,exists
output_written_comparison,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\speed_v5_comparison_to_v4.csv,exists
output_written_conflict,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\speed_v5_conflict_with_v4_stable.csv,exists
output_written_candidates,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\speed_v5_route_measure_candidates.csv,exists
output_written_review,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\speed_v5_ambiguous_or_review_bins.csv,exists
output_written_missing,True,work\output\roadway_graph\review\current\speed_context_join_v5_new_source_supplement\speed_v5_missing_bins.csv,exists
